date,pm10,pm25
2023-04-01 01,64,38
2023-04-01 02,64,38
2023-04-01 03,62,39
2023-04-01 04,60,38
2023-04-01 05,59,37
2023-04-01 06,58,37
2023-04-01 07,57,35
2023-04-01 08,56,34
2023-04-01 09,56,32
2023-04-01 10,57,31
2023-04-01 11,59,29
2023-04-01 12,59,28
2023-04-01 13,57,26
2023-04-01 14,47,21
2023-04-01 15,38,16
2023-04-01 16,37,15
2023-04-01 17,40,18
2023-04-01 18,50,24
2023-04-01 19,55,29
2023-04-01 20,58,31
2023-04-01 21,62,33
2023-04-01 22,68,35
2023-04-01 23,67,37
2023-04-02 00,65,38
2023-04-02 01,62,38
2023-04-02 02,64,38
2023-04-02 03,62,38
2023-04-02 04,61,37
2023-04-02 05,59,36
2023-04-02 06,57,33
2023-04-02 07,55,32
2023-04-02 08,46,30
2023-04-02 09,36,27
2023-04-02 10,,
2023-04-02 11,31,19
2023-04-02 12,29,14
2023-04-02 13,25,11
2023-04-02 14,19,10
2023-04-02 15,21,11
2023-04-02 16,23,13
2023-04-02 17,26,15
2023-04-02 18,28,20
2023-04-02 19,29,22
2023-04-02 20,30,22
2023-04-02 21,34,25
2023-04-02 22,36,28
2023-04-02 23,39,33
2023-04-03 00,44,35
2023-04-03 01,51,39
2023-04-03 02,52,43
2023-04-03 03,48,42
2023-04-03 04,44,37
2023-04-03 05,44,33
2023-04-03 06,44,32
2023-04-03 07,44,34
2023-04-03 08,46,35
2023-04-03 09,43,34
2023-04-03 10,40,31
2023-04-03 11,36,27
2023-04-03 12,33,22
2023-04-03 13,33,20
2023-04-03 14,33,17
2023-04-03 15,31,14
2023-04-03 16,29,12
2023-04-03 17,29,14
2023-04-03 18,28,14
2023-04-03 19,30,15
2023-04-03 20,36,17
2023-04-03 21,34,17
2023-04-03 22,32,17
2023-04-03 23,30,18
2023-04-04 00,27,19
2023-04-04 01,26,21
2023-04-04 02,26,22
2023-04-04 03,28,21
2023-04-04 04,28,21
2023-04-04 05,28,20
2023-04-04 06,26,19
2023-04-04 07,24,17
2023-04-04 08,25,17
2023-04-04 09,25,17
2023-04-04 10,22,13
2023-04-04 11,18,10
2023-04-04 12,17,8
2023-04-04 13,18,7
2023-04-04 14,22,9
2023-04-04 15,25,13
2023-04-04 16,27,14
2023-04-04 17,28,14
2023-04-04 18,28,13
2023-04-04 19,27,12
2023-04-04 20,28,12
2023-04-04 21,28,12
2023-04-04 22,25,12
2023-04-04 23,24,14
2023-04-05 00,26,16
2023-04-05 01,26,16
2023-04-05 02,24,14
2023-04-05 03,21,12
2023-04-05 04,19,10
2023-04-05 05,19,10
2023-04-05 06,22,11
2023-04-05 07,24,11
2023-04-05 08,20,8
2023-04-05 09,11,6
2023-04-05 10,6,4
2023-04-05 11,4,2
2023-04-05 12,3,1
2023-04-05 13,,
2023-04-05 14,4,0
2023-04-05 15,2,0
2023-04-05 16,1,
2023-04-05 17,,0
2023-04-05 18,1,1
2023-04-05 19,5,3
2023-04-05 20,19,7
2023-04-05 21,20,12
2023-04-05 22,17,16
2023-04-05 23,15,
2023-04-06 00,15,17
2023-04-06 01,15,
2023-04-06 02,18,15
2023-04-06 03,20,18
2023-04-06 04,22,20
2023-04-06 05,23,21
2023-04-06 06,21,20
2023-04-06 07,19,17
2023-04-06 08,15,15
2023-04-06 09,14,13
2023-04-06 10,16,8
2023-04-06 11,11,6
2023-04-06 12,7,5
2023-04-06 13,7,6
2023-04-06 14,11,9
2023-04-06 15,16,11
2023-04-06 16,18,14
2023-04-06 17,20,17
2023-04-06 18,21,18
2023-04-06 19,20,17
2023-04-06 20,22,19
2023-04-06 21,24,23
2023-04-06 22,26,23
2023-04-06 23,24,
2023-04-07 00,22,20
2023-04-07 01,18,18
2023-04-07 02,17,
2023-04-07 03,15,
2023-04-07 04,19,
2023-04-07 05,26,28
2023-04-07 06,36,33
2023-04-07 07,43,38
2023-04-07 08,44,37
2023-04-07 09,47,33
2023-04-07 10,51,30
2023-04-07 11,53,26
2023-04-07 12,53,22
2023-04-07 13,51,20
2023-04-07 14,44,17
2023-04-07 15,37,15
2023-04-07 16,31,13
2023-04-07 17,28,12
2023-04-07 18,27,14
2023-04-07 19,28,17
2023-04-07 20,28,20
2023-04-07 21,32,20
2023-04-07 22,37,20
2023-04-07 23,42,17
2023-04-08 00,34,11
2023-04-08 01,30,13
2023-04-08 02,29,14
2023-04-08 03,27,11
2023-04-08 04,17,6
2023-04-08 05,13,6
2023-04-08 06,13,10
2023-04-08 07,16,10
2023-04-08 08,18,8
2023-04-08 09,18,7
2023-04-08 10,20,3
2023-04-08 11,16,2
2023-04-08 12,17,2
2023-04-08 13,21,3
2023-04-08 14,26,4
2023-04-08 15,27,5
2023-04-08 16,29,5
2023-04-08 17,30,4
2023-04-08 18,29,4
2023-04-08 19,31,5
2023-04-08 20,37,7
2023-04-08 21,45,7
2023-04-08 22,51,7
2023-04-08 23,58,7
2023-04-09 00,61,7
2023-04-09 01,58,11
2023-04-09 02,54,15
2023-04-09 03,56,15
2023-04-09 04,56,15
2023-04-09 05,54,16
2023-04-09 06,51,15
2023-04-09 07,43,16
2023-04-09 08,40,13
2023-04-09 09,42,8
2023-04-09 10,42,4
2023-04-09 11,47,2
2023-04-09 12,46,2
2023-04-09 13,43,3
2023-04-09 14,44,5
2023-04-09 15,49,8
2023-04-09 16,50,11
2023-04-09 17,49,10
2023-04-09 18,52,9
2023-04-09 19,55,11
2023-04-09 20,60,13
2023-04-09 21,66,12
2023-04-09 22,68,12
2023-04-09 23,65,14
2023-04-10 00,61,15
2023-04-10 01,59,15
2023-04-10 02,59,15
2023-04-10 03,57,18
2023-04-10 04,55,19
2023-04-10 05,53,19
2023-04-10 06,50,20
2023-04-10 07,47,19
2023-04-10 08,48,19
2023-04-10 09,50,15
2023-04-10 10,52,12
2023-04-10 11,50,7
2023-04-10 12,,
2023-04-10 13,39,3
2023-04-10 14,40,4
2023-04-10 15,39,4
2023-04-10 16,35,6
2023-04-10 17,35,5
2023-04-10 18,39,8
2023-04-10 19,34,7
2023-04-10 20,30,6
2023-04-10 21,29,9
2023-04-10 22,28,9
2023-04-10 23,30,10
2023-04-11 00,29,7
2023-04-11 01,26,7
2023-04-11 02,24,10
2023-04-11 03,24,12
2023-04-11 04,26,13
2023-04-11 05,27,14
2023-04-11 06,25,13
2023-04-11 07,25,14
2023-04-11 08,27,14
2023-04-11 09,28,12
2023-04-11 10,28,7
2023-04-11 11,27,4
2023-04-11 12,22,3
2023-04-11 13,20,3
2023-04-11 14,22,4
2023-04-11 15,22,5
2023-04-11 16,25,5
2023-04-11 17,25,6
2023-04-11 18,23,8
2023-04-11 19,24,9
2023-04-11 20,25,11
2023-04-11 21,26,12
2023-04-11 22,25,11
2023-04-11 23,25,13
2023-04-12 00,25,14
2023-04-12 01,32,16
2023-04-12 02,94,24
2023-04-12 03,161,26
2023-04-12 04,204,29
2023-04-12 05,234,32
2023-04-12 06,281,37
2023-04-12 07,350,41
2023-04-12 08,394,45
2023-04-12 09,416,44
2023-04-12 10,376,37
2023-04-12 11,327,27
2023-04-12 12,268,18
2023-04-12 13,212,12
2023-04-12 14,175,9
2023-04-12 15,146,5
2023-04-12 16,125,6
2023-04-12 17,119,9
2023-04-12 18,121,11
2023-04-12 19,126,12
2023-04-12 20,133,15
2023-04-12 21,137,15
2023-04-12 22,139,17
2023-04-12 23,140,20
2023-04-13 00,138,22
2023-04-13 01,136,22
2023-04-13 02,132,22
2023-04-13 03,129,21
2023-04-13 04,125,20
2023-04-13 05,124,20
2023-04-13 06,120,20
2023-04-13 07,118,21
2023-04-13 08,117,20
2023-04-13 09,124,17
2023-04-13 10,133,15
2023-04-13 11,136,14
2023-04-13 12,125,14
2023-04-13 13,110,10
2023-04-13 14,89,7
2023-04-13 15,77,7
2023-04-13 16,78,9
2023-04-13 17,82,11
2023-04-13 18,84,11
2023-04-13 19,84,11
2023-04-13 20,83,13
2023-04-13 21,84,15
2023-04-13 22,95,17
2023-04-13 23,98,18
2023-04-14 00,94,19
2023-04-14 01,89,19
2023-04-14 02,87,20
2023-04-14 03,84,22
2023-04-14 04,77,22
2023-04-14 05,70,20
2023-04-14 06,67,20
2023-04-14 07,66,20
2023-04-14 08,66,20
2023-04-14 09,68,20
2023-04-14 10,70,19
2023-04-14 11,70,18
2023-04-14 12,73,17
2023-04-14 13,73,17
2023-04-14 14,74,17
2023-04-14 15,67,16
2023-04-14 16,65,13
2023-04-14 17,63,12
2023-04-14 18,60,14
2023-04-14 19,58,15
2023-04-14 20,48,14
2023-04-14 21,38,13
