date,pm10,pm25
2022-12-11 07,28,18
2022-12-11 08,30,19
2022-12-11 09,27,11
2022-12-11 10,24,12
2022-12-11 11,16,6
2022-12-11 12,14,3
2022-12-11 13,14,7
2022-12-11 14,15,7
2022-12-11 15,16,6
2022-12-11 16,15,10
2022-12-11 17,18,12
2022-12-11 18,17,11
2022-12-11 19,21,14
2022-12-11 20,24,16
2022-12-11 21,22,17
2022-12-11 22,30,17
2022-12-11 23,32,19
2022-12-12 00,31,23
2022-12-12 01,26,12
2022-12-12 02,30,20
2022-12-12 03,34,26
2022-12-12 04,33,23
2022-12-12 05,33,19
2022-12-12 06,30,21
2022-12-12 07,29,15
2022-12-12 08,23,20
2022-12-12 09,29,21
2022-12-12 10,31,20
2022-12-12 11,28,10
2022-12-12 12,25,16
2022-12-12 13,30,15
2022-12-12 14,31,14
2022-12-12 15,,
2022-12-12 16,,
2022-12-12 17,9,2
2022-12-12 18,9,3
2022-12-12 19,11,12
2022-12-12 20,16,20
2022-12-12 21,18,16
2022-12-12 22,17,9
2022-12-12 23,19,9
2022-12-13 00,14,9
2022-12-13 01,15,
2022-12-13 02,17,6
2022-12-13 03,17,15
2022-12-13 04,17,11
2022-12-13 05,16,10
2022-12-13 06,15,7
2022-12-13 07,14,8
2022-12-13 08,16,7
2022-12-13 09,25,16
2022-12-13 10,27,20
2022-12-13 11,31,19
2022-12-13 12,45,14
2022-12-13 13,72,12
2022-12-13 14,98,15
2022-12-13 15,142,25
2022-12-13 16,190,32
2022-12-13 17,214,38
2022-12-13 18,230,38
2022-12-13 19,252,46
2022-12-13 20,240,42
2022-12-13 21,230,40
2022-12-13 22,201,38
2022-12-13 23,173,37
2022-12-14 00,105,27
2022-12-14 01,52,10
2022-12-14 02,20,6
2022-12-14 03,15,5
2022-12-14 04,8,10
2022-12-14 05,17,8
2022-12-14 06,19,12
2022-12-14 07,21,14
2022-12-14 08,23,12
2022-12-14 09,24,12
2022-12-14 10,18,7
2022-12-14 11,8,0
2022-12-14 12,8,1
2022-12-14 13,6,
2022-12-14 14,7,3
2022-12-14 15,13,3
2022-12-14 16,12,4
2022-12-14 17,15,13
2022-12-14 18,16,9
2022-12-14 19,16,7
2022-12-14 20,19,11
2022-12-14 21,14,10
2022-12-14 22,18,9
2022-12-14 23,17,12
2022-12-15 00,17,12
2022-12-15 01,8,9
2022-12-15 02,,12
2022-12-15 03,14,16
2022-12-15 04,14,13
2022-12-15 05,20,10
2022-12-15 06,17,12
2022-12-15 07,22,11
2022-12-15 08,24,15
2022-12-15 09,21,13
2022-12-15 10,24,13
2022-12-15 11,10,3
2022-12-15 12,12,
2022-12-15 13,11,
2022-12-15 14,8,
2022-12-15 15,5,
2022-12-15 16,13,4
2022-12-15 17,25,10
2022-12-15 18,33,17
2022-12-15 19,34,16
2022-12-15 20,31,11
2022-12-15 21,25,9
2022-12-15 22,30,12
2022-12-15 23,30,13
