date,pm10,pm25
2023-01-01 01,29,16
2023-01-01 02,27,
2023-01-01 03,31,25
2023-01-01 04,29,24
2023-01-01 05,29,21
2023-01-01 06,25,23
2023-01-01 07,26,21
2023-01-01 08,23,20
2023-01-01 09,24,19
2023-01-01 10,26,16
2023-01-01 11,18,8
2023-01-01 12,11,6
2023-01-01 13,19,9
2023-01-01 14,29,18
2023-01-01 15,,
2023-01-01 16,46,35
2023-01-01 17,72,56
2023-01-01 18,69,62
2023-01-01 19,68,58
2023-01-01 20,65,56
2023-01-01 21,57,45
2023-01-01 22,44,35
2023-01-01 23,38,22
2023-01-02 00,23,13
2023-01-02 01,19,14
2023-01-02 02,15,13
2023-01-02 03,14,12
2023-01-02 04,11,11
2023-01-02 05,8,5
2023-01-02 06,2,1
2023-01-02 07,6,4
2023-01-02 08,8,8
2023-01-02 09,9,4
2023-01-02 10,6,2
2023-01-02 11,7,
2023-01-02 12,,
2023-01-02 13,3,
2023-01-02 14,1,
2023-01-02 15,,3
2023-01-02 16,5,4
2023-01-02 17,,
2023-01-02 18,20,7
2023-01-02 19,17,12
2023-01-02 20,15,
2023-01-02 21,17,12
2023-01-02 22,10,
2023-01-02 23,18,16
2023-01-03 00,19,15
2023-01-03 01,22,20
2023-01-03 02,24,19
2023-01-03 03,19,
2023-01-03 04,21,17
2023-01-03 05,22,17
2023-01-03 06,19,17
2023-01-03 07,19,13
2023-01-03 08,21,11
2023-01-03 09,23,12
2023-01-03 10,12,
2023-01-03 11,7,
2023-01-03 12,,
2023-01-03 13,5,
2023-01-03 14,1,
2023-01-03 15,3,
2023-01-03 16,6,5
2023-01-03 17,12,11
2023-01-03 18,17,
2023-01-03 19,17,13
2023-01-03 20,14,13
2023-01-03 21,19,12
2023-01-03 22,26,18
2023-01-03 23,27,24
2023-01-04 00,24,22
2023-01-04 01,36,16
2023-01-04 02,28,21
2023-01-04 03,35,21
2023-01-04 04,18,11
2023-01-04 05,14,14
2023-01-04 06,16,14
2023-01-04 07,21,16
2023-01-04 08,30,21
2023-01-04 09,,
2023-01-04 10,,
2023-01-04 11,30,15
2023-01-04 12,18,8
2023-01-04 13,16,4
2023-01-04 14,16,5
2023-01-04 15,20,6
2023-01-04 16,23,15
2023-01-04 17,29,20
2023-01-04 18,28,20
2023-01-04 19,34,26
2023-01-04 20,45,31
2023-01-04 21,41,32
2023-01-04 22,44,33
2023-01-04 23,53,38
2023-01-05 00,48,40
2023-01-05 01,49,40
2023-01-05 02,47,42
2023-01-05 03,48,36
2023-01-05 04,49,40
2023-01-05 05,38,
2023-01-05 06,43,34
2023-01-05 07,44,32
2023-01-05 08,46,39
2023-01-05 09,49,38
2023-01-05 10,55,37
2023-01-05 11,46,42
2023-01-05 12,54,37
2023-01-05 13,60,38
2023-01-05 14,73,49
2023-01-05 15,87,63
2023-01-05 16,83,67
2023-01-05 17,90,70
2023-01-05 18,103,77
2023-01-05 19,100,81
2023-01-05 20,107,90
2023-01-05 21,109,85
2023-01-05 22,105,90
2023-01-05 23,115,85
2023-01-06 00,113,85
2023-01-06 01,99,81
2023-01-06 02,89,87
2023-01-06 03,97,88
2023-01-06 04,90,81
2023-01-06 05,94,83
2023-01-06 06,94,84
2023-01-06 07,98,85
2023-01-06 08,101,86
2023-01-06 09,104,87
2023-01-06 10,107,92
2023-01-06 11,100,91
2023-01-06 12,,
2023-01-06 13,,
2023-01-06 14,,
2023-01-06 15,36,18
2023-01-06 16,46,29
2023-01-06 17,52,38
2023-01-06 18,66,53
2023-01-06 19,85,68
2023-01-06 20,99,81
2023-01-06 21,105,90
2023-01-06 22,107,90
2023-01-06 23,108,90
2023-01-07 00,107,90
2023-01-07 01,104,91
2023-01-07 02,102,93
2023-01-07 03,105,92
2023-01-07 04,105,89
2023-01-07 05,103,86
2023-01-07 06,103,84
2023-01-07 07,109,84
