date,pm10,pm25
2023-02-01 01,40,29
2023-02-01 02,40,32
2023-02-01 03,41,32
2023-02-01 04,39,29
2023-02-01 05,34,27
2023-02-01 06,33,26
2023-02-01 07,32,24
2023-02-01 08,34,24
2023-02-01 09,36,26
2023-02-01 10,41,28
2023-02-01 11,47,32
2023-02-01 12,48,32
2023-02-01 13,47,27
2023-02-01 14,44,20
2023-02-01 15,39,15
2023-02-01 16,40,14
2023-02-01 17,50,18
2023-02-01 18,63,27
2023-02-01 19,71,35
2023-02-01 20,74,41
2023-02-01 21,68,41
2023-02-01 22,62,36
2023-02-01 23,53,31
2023-02-02 00,44,27
2023-02-02 01,36,23
2023-02-02 02,28,20
2023-02-02 03,26,20
2023-02-02 04,25,20
2023-02-02 05,23,17
2023-02-02 06,23,15
2023-02-02 07,23,15
2023-02-02 08,24,15
2023-02-02 09,26,15
2023-02-02 10,29,15
2023-02-02 11,29,17
2023-02-02 12,26,15
2023-02-02 13,21,12
2023-02-02 14,19,8
2023-02-02 15,15,5
2023-02-02 16,13,3
2023-02-02 17,15,7
2023-02-02 18,19,12
2023-02-02 19,24,17
2023-02-02 20,28,21
2023-02-02 21,31,23
2023-02-02 22,33,25
2023-02-02 23,34,27
2023-02-03 00,34,27
2023-02-03 01,35,26
2023-02-03 02,36,26
2023-02-03 03,36,28
2023-02-03 04,36,28
2023-02-03 05,34,28
2023-02-03 06,32,26
2023-02-03 07,31,24
2023-02-03 08,33,22
2023-02-03 09,32,23
2023-02-03 10,33,24
2023-02-03 11,36,24
2023-02-03 12,34,21
2023-02-03 13,34,18
2023-02-03 14,34,16
2023-02-03 15,32,14
2023-02-03 16,32,15
2023-02-03 17,36,17
2023-02-03 18,41,20
2023-02-03 19,43,26
2023-02-03 20,40,27
2023-02-03 21,36,24
2023-02-03 22,33,21
2023-02-03 23,30,19
2023-02-04 00,26,17
2023-02-04 01,25,16
2023-02-04 02,24,18
2023-02-04 03,22,20
2023-02-04 04,19,19
2023-02-04 05,19,18
2023-02-04 06,20,16
2023-02-04 07,18,11
2023-02-04 08,17,10
2023-02-04 09,15,10
2023-02-04 10,16,12
2023-02-04 11,18,12
2023-02-04 12,18,13
2023-02-04 13,21,15
2023-02-04 14,27,18
2023-02-04 15,32,20
2023-02-04 16,34,21
2023-02-04 17,37,22
2023-02-04 18,41,24
2023-02-04 19,41,29
2023-02-04 20,44,32
2023-02-04 21,47,33
2023-02-04 22,49,36
2023-02-04 23,48,38
2023-02-05 00,49,40
2023-02-05 01,47,40
2023-02-05 02,47,42
2023-02-05 03,49,43
2023-02-05 04,50,43
2023-02-05 05,51,43
2023-02-05 06,52,42
2023-02-05 07,52,42
2023-02-05 08,51,42
2023-02-05 09,53,42
2023-02-05 10,58,45
2023-02-05 11,61,47
2023-02-05 12,59,45
2023-02-05 13,53,41
2023-02-05 14,41,32
2023-02-05 15,29,20
2023-02-05 16,19,11
2023-02-05 17,16,9
2023-02-05 18,18,16
2023-02-05 19,22,21
2023-02-05 20,35,28
2023-02-05 21,47,35
2023-02-05 22,49,39
2023-02-05 23,50,41
2023-02-06 00,51,43
2023-02-06 01,50,41
2023-02-06 02,49,39
2023-02-06 03,47,40
2023-02-06 04,45,41
2023-02-06 05,43,40
2023-02-06 06,41,38
2023-02-06 07,42,37
2023-02-06 08,42,37
2023-02-06 09,41,35
2023-02-06 10,43,33
2023-02-06 11,45,33
2023-02-06 12,51,34
2023-02-06 13,,
2023-02-06 14,53,47
2023-02-06 15,43,40
2023-02-06 16,33,30
2023-02-06 17,26,23
2023-02-06 18,27,21
2023-02-06 19,33,22
2023-02-06 20,43,27
2023-02-06 21,49,31
2023-02-06 22,49,35
2023-02-06 23,49,36
2023-02-07 00,49,34
2023-02-07 01,46,34
2023-02-07 02,42,35
2023-02-07 03,40,38
2023-02-07 04,40,40
2023-02-07 05,40,39
2023-02-07 06,39,37
2023-02-07 07,40,34
2023-02-07 08,41,34
2023-02-07 09,43,35
2023-02-07 10,47,34
2023-02-07 11,51,31
2023-02-07 12,51,31
2023-02-07 13,50,29
2023-02-07 14,44,26
2023-02-07 15,37,22
2023-02-07 16,31,20
2023-02-07 17,29,21
2023-02-07 18,31,26
2023-02-07 19,35,31
2023-02-07 20,40,33
2023-02-07 21,44,35
2023-02-07 22,44,36
2023-02-07 23,48,39
2023-02-08 00,54,42
2023-02-08 01,60,43
2023-02-08 02,62,45
2023-02-08 03,58,47
2023-02-08 04,54,46
2023-02-08 05,49,46
2023-02-08 06,45,43
2023-02-08 07,46,43
2023-02-08 08,49,42
2023-02-08 09,53,43
2023-02-08 10,58,44
2023-02-08 11,62,45
2023-02-08 12,61,40
2023-02-08 13,50,31
2023-02-08 14,41,24
2023-02-08 15,30,17
2023-02-08 16,24,15
2023-02-08 17,21,14
2023-02-08 18,21,16
2023-02-08 19,25,20
2023-02-08 20,31,25
2023-02-08 21,36,28
2023-02-08 22,38,33
2023-02-08 23,41,36
2023-02-09 00,42,39
2023-02-09 01,42,41
2023-02-09 02,44,41
2023-02-09 03,47,41
2023-02-09 04,49,43
2023-02-09 05,50,45
2023-02-09 06,53,44
2023-02-09 07,59,47
2023-02-09 08,62,51
2023-02-09 09,64,53
2023-02-09 10,64,50
2023-02-09 11,62,46
2023-02-09 12,57,40
2023-02-09 13,53,39
2023-02-09 14,50,39
2023-02-09 15,50,40
2023-02-09 16,49,40
2023-02-09 17,47,37
2023-02-09 18,40,31
2023-02-09 19,32,26
2023-02-09 20,29,23
2023-02-09 21,29,21
2023-02-09 22,35,19
2023-02-09 23,33,19
2023-02-10 00,28,17
2023-02-10 01,21,17
2023-02-10 02,15,
2023-02-10 03,12,
2023-02-10 04,11,
2023-02-10 05,8,
2023-02-10 06,6,
2023-02-10 07,6,6
2023-02-10 08,5,4
2023-02-10 09,4,4
2023-02-10 10,7,5
2023-02-10 11,10,6
2023-02-10 12,9,4
2023-02-10 13,6,0
2023-02-10 14,3,
2023-02-10 15,1,
2023-02-10 16,1,
2023-02-10 17,3,3
2023-02-10 18,8,8
2023-02-10 19,12,11
2023-02-10 20,15,15
2023-02-10 21,18,17
2023-02-10 22,20,18
2023-02-10 23,23,20
2023-02-11 00,25,22
2023-02-11 01,25,24
