date,pm10,pm25
2023-04-16 01,24,13
2023-04-16 02,27,13
2023-04-16 03,29,16
2023-04-16 04,30,16
2023-04-16 05,29,17
2023-04-16 06,29,17
2023-04-16 07,29,16
2023-04-16 08,35,16
2023-04-16 09,37,17
2023-04-16 10,43,19
2023-04-16 11,53,17
2023-04-16 12,70,19
2023-04-16 13,87,18
2023-04-16 14,108,17
2023-04-16 15,126,15
2023-04-16 16,133,17
2023-04-16 17,128,18
2023-04-16 18,112,19
2023-04-16 19,100,21
2023-04-16 20,91,21
2023-04-16 21,86,20
2023-04-16 22,80,21
2023-04-16 23,75,21
2023-04-17 00,75,23
2023-04-17 01,73,24
2023-04-17 02,71,25
2023-04-17 03,70,25
2023-04-17 04,67,24
2023-04-17 05,66,24
2023-04-17 06,66,23
2023-04-17 07,64,22
2023-04-17 08,64,22
2023-04-17 09,65,20
2023-04-17 10,71,19
2023-04-17 11,79,18
2023-04-17 12,84,20
2023-04-17 13,,
2023-04-17 14,85,16
2023-04-17 15,84,17
2023-04-17 16,86,18
2023-04-17 17,93,21
2023-04-17 18,96,20
2023-04-17 19,97,19
2023-04-17 20,104,19
2023-04-17 21,103,21
2023-04-17 22,102,22
2023-04-17 23,102,23
2023-04-18 00,96,23
2023-04-18 01,96,22
2023-04-18 02,90,23
2023-04-18 03,89,26
2023-04-18 04,89,27
2023-04-18 05,89,28
2023-04-18 06,87,28
2023-04-18 07,88,28
2023-04-18 08,89,27
2023-04-18 09,88,24
2023-04-18 10,86,21
2023-04-18 11,81,19
2023-04-18 12,74,16
2023-04-18 13,68,14
2023-04-18 14,64,11
2023-04-18 15,65,11
2023-04-18 16,66,13
2023-04-18 17,69,19
2023-04-18 18,70,19
2023-04-18 19,61,18
2023-04-18 20,50,19
2023-04-18 21,47,19
2023-04-18 22,45,19
2023-04-18 23,40,16
2023-04-19 00,44,15
2023-04-19 01,44,15
2023-04-19 02,41,14
2023-04-19 03,42,14
2023-04-19 04,42,16
2023-04-19 05,40,17
2023-04-19 06,40,18
2023-04-19 07,39,21
2023-04-19 08,42,20
2023-04-19 09,40,20
2023-04-19 10,35,19
2023-04-19 11,31,20
2023-04-19 12,33,22
2023-04-19 13,38,22
2023-04-19 14,37,21
2023-04-19 15,32,18
2023-04-19 16,30,16
2023-04-19 17,27,15
2023-04-19 18,20,13
2023-04-19 19,19,12
2023-04-19 20,23,13
2023-04-19 21,25,14
2023-04-19 22,21,14
2023-04-19 23,22,13
2023-04-20 00,23,13
2023-04-20 01,25,13
2023-04-20 02,26,13
2023-04-20 03,33,21
2023-04-20 04,46,26
2023-04-20 05,44,29
2023-04-20 06,41,29
2023-04-20 07,44,27
2023-04-20 08,45,27
2023-04-20 09,41,26
2023-04-20 10,35,24
2023-04-20 11,33,23
2023-04-20 12,31,19
2023-04-20 13,29,14
2023-04-20 14,29,12
2023-04-20 15,33,14
2023-04-20 16,39,17
2023-04-20 17,44,20
2023-04-20 18,45,19
2023-04-20 19,43,20
2023-04-20 20,42,21
2023-04-20 21,44,20
2023-04-20 22,40,18
2023-04-20 23,35,17
2023-04-21 00,34,19
2023-04-21 01,39,23
2023-04-21 02,42,25
2023-04-21 03,41,25
2023-04-21 04,39,25
2023-04-21 05,38,24
2023-04-21 06,37,24
2023-04-21 07,37,24
2023-04-21 08,38,22
2023-04-21 09,37,20
2023-04-21 10,39,16
2023-04-21 11,39,17
2023-04-21 12,45,19
2023-04-21 13,45,18
2023-04-21 14,44,17
2023-04-21 15,44,14
2023-04-21 16,43,13
2023-04-21 17,48,14
2023-04-21 18,71,18
2023-04-21 19,107,19
2023-04-21 20,159,23
