date,pm10,pm25
2023-03-16 01,25,16
2023-03-16 02,29,20
2023-03-16 03,30,21
2023-03-16 04,28,19
2023-03-16 05,27,19
2023-03-16 06,28,18
2023-03-16 07,44,16
2023-03-16 08,66,16
2023-03-16 09,76,15
2023-03-16 10,73,12
2023-03-16 11,67,10
2023-03-16 12,57,7
2023-03-16 13,44,5
2023-03-16 14,33,2
2023-03-16 15,26,1
2023-03-16 16,23,1
2023-03-16 17,21,3
2023-03-16 18,20,5
2023-03-16 19,23,7
2023-03-16 20,25,8
2023-03-16 21,26,10
2023-03-16 22,29,11
2023-03-16 23,27,11
2023-03-17 00,27,12
2023-03-17 01,26,11
2023-03-17 02,24,10
2023-03-17 03,23,12
2023-03-17 04,23,12
2023-03-17 05,27,13
2023-03-17 06,35,14
2023-03-17 07,42,15
2023-03-17 08,44,15
2023-03-17 09,47,15
2023-03-17 10,45,16
2023-03-17 11,44,16
2023-03-17 12,46,17
2023-03-17 13,47,19
2023-03-17 14,49,19
2023-03-17 15,46,19
2023-03-17 16,45,21
2023-03-17 17,47,22
2023-03-17 18,52,22
2023-03-17 19,49,19
2023-03-17 20,43,16
2023-03-17 21,37,12
2023-03-17 22,34,10
2023-03-17 23,31,8
2023-03-18 00,31,8
2023-03-18 01,31,11
2023-03-18 02,36,13
2023-03-18 03,37,16
2023-03-18 04,38,16
2023-03-18 05,39,15
2023-03-18 06,37,15
2023-03-18 07,35,18
2023-03-18 08,36,17
2023-03-18 09,37,16
2023-03-18 10,37,16
2023-03-18 11,35,15
2023-03-18 12,34,14
2023-03-18 13,31,12
2023-03-18 14,28,10
2023-03-18 15,26,9
2023-03-18 16,24,8
2023-03-18 17,24,9
2023-03-18 18,27,12
2023-03-18 19,34,17
2023-03-18 20,40,23
2023-03-18 21,41,25
2023-03-18 22,42,26
2023-03-18 23,40,26
2023-03-19 00,37,26
2023-03-19 01,37,27
2023-03-19 02,41,30
2023-03-19 03,44,31
2023-03-19 04,46,30
2023-03-19 05,49,30
2023-03-19 06,49,31
2023-03-19 07,52,33
2023-03-19 08,56,32
2023-03-19 09,58,30
2023-03-19 10,57,28
2023-03-19 11,59,28
2023-03-19 12,61,26
2023-03-19 13,59,23
2023-03-19 14,55,18
2023-03-19 15,49,14
2023-03-19 16,46,10
2023-03-19 17,49,11
2023-03-19 18,54,14
2023-03-19 19,56,21
2023-03-19 20,60,24
2023-03-19 21,63,25
2023-03-19 22,63,28
2023-03-19 23,64,31
2023-03-20 00,65,34
2023-03-20 01,63,35
2023-03-20 02,60,39
2023-03-20 03,58,40
2023-03-20 04,58,38
2023-03-20 05,57,36
2023-03-20 06,57,37
2023-03-20 07,58,38
2023-03-20 08,60,37
2023-03-20 09,60,35
2023-03-20 10,60,34
2023-03-20 11,,
2023-03-20 12,,
2023-03-20 13,66,31
2023-03-20 14,53,22
2023-03-20 15,48,18
2023-03-20 16,53,19
2023-03-20 17,55,20
2023-03-20 18,56,20
2023-03-20 19,55,25
2023-03-20 20,56,25
2023-03-20 21,56,25
2023-03-20 22,56,26
2023-03-20 23,56,27
2023-03-21 00,57,28
2023-03-21 01,58,26
2023-03-21 02,58,26
2023-03-21 03,58,27
2023-03-21 04,57,28
2023-03-21 05,58,29
2023-03-21 06,57,30
2023-03-21 07,56,30
2023-03-21 08,56,29
2023-03-21 09,56,29
2023-03-21 10,56,27
2023-03-21 11,54,22
2023-03-21 12,51,18
2023-03-21 13,49,16
2023-03-21 14,49,17
2023-03-21 15,48,17
2023-03-21 16,43,13
2023-03-21 17,42,13
2023-03-21 18,43,14
2023-03-21 19,47,18
2023-03-21 20,47,21
2023-03-21 21,38,18
2023-03-21 22,34,11
2023-03-21 23,32,11
2023-03-22 00,31,15
2023-03-22 01,32,18
2023-03-22 02,32,21
2023-03-22 03,34,22
2023-03-22 04,32,22
2023-03-22 05,31,22
2023-03-22 06,29,21
2023-03-22 07,29,21
2023-03-22 08,29,20
2023-03-22 09,29,19
2023-03-22 10,28,16
2023-03-22 11,21,10
2023-03-22 12,16,7
2023-03-22 13,17,7
2023-03-22 14,17,8
