date,pm10,pm25
2023-02-29 00,18,11
2023-02-28 23,20,12
2023-02-28 22,17,10
2023-02-28 21,18,10
2023-02-28 20,19,12
2023-02-28 19,23,13
2023-02-28 18,26,14
2023-02-28 17,23,13
2023-02-28 16,23,14
2023-02-28 15,32,14
2023-02-28 14,25,11
2023-02-28 13,25,14
2023-02-28 12,43,27
2023-02-28 11,53,37
2023-02-28 10,66,40
2023-02-28 09,60,40
2023-02-28 08,51,36
2023-02-28 07,45,33
2023-02-28 06,45,34
2023-02-28 05,47,34
2023-02-28 04,38,31
2023-02-28 03,41,31
2023-02-28 02,39,30
2023-02-28 01,50,36
2023-02-28 00,46,31
2023-02-27 23,47,30
2023-02-27 22,52,31
2023-02-27 21,54,34
2023-02-27 20,45,31
2023-02-27 19,42,29
2023-02-27 18,42,32
2023-02-27 17,46,35
2023-02-27 16,40,26
2023-02-27 15,31,20
2023-02-27 14,32,18
2023-02-27 13,38,30
2023-02-27 12,45,30
2023-02-27 11,41,30
2023-02-27 10,38,27
2023-02-27 09,37,28
2023-02-27 08,33,23
2023-02-27 07,33,26
2023-02-27 06,30,22
2023-02-27 05,30,19
2023-02-27 04,31,22
2023-02-27 03,29,21
2023-02-27 02,34,24
2023-02-27 01,35,23
2023-02-27 00,34,24
2023-02-26 23,36,21
2023-02-26 22,40,23
2023-02-26 21,33,20
2023-02-26 20,29,17
2023-02-26 19,26,18
2023-02-26 18,19,15
2023-02-26 17,19,12
2023-02-26 16,19,13
2023-02-26 15,19,12
2023-02-26 14,22,12
2023-02-26 13,22,13
2023-02-26 12,26,15
2023-02-26 11,31,20
2023-02-26 10,27,18
2023-02-26 09,25,14
2023-02-26 08,27,18
2023-02-26 07,25,15
2023-02-26 06,23,12
2023-02-26 05,23,12
2023-02-26 04,21,12
2023-02-26 03,19,14
2023-02-26 02,21,12
2023-02-26 01,20,12
2023-02-26 00,24,14
2023-02-25 23,31,17
2023-02-25 22,31,20
2023-02-25 21,28,20
2023-02-25 20,29,17
2023-02-25 19,30,19
2023-02-25 18,25,15
2023-02-25 17,23,16
2023-02-25 16,21,15
2023-02-25 15,23,12
2023-02-25 14,26,14
2023-02-25 13,24,14
2023-02-25 12,27,15
2023-02-25 11,30,15
2023-02-25 10,29,13
2023-02-25 09,26,12
2023-02-25 08,20,11
2023-02-25 07,15,10
2023-02-25 06,16,7
2023-02-25 05,13,6
2023-02-25 04,15,6
2023-02-25 03,15,7
2023-02-25 02,15,11
2023-02-25 01,17,11
2023-02-25 00,30,20
2023-02-24 23,34,21
2023-02-24 22,38,25
2023-02-24 21,42,30
2023-02-24 20,46,29
2023-02-24 19,39,26
2023-02-24 18,39,21
2023-02-24 17,37,19
2023-02-24 16,30,14
2023-02-24 15,31,17
2023-02-24 14,25,13
2023-02-24 13,24,13
2023-02-24 12,44,28
2023-02-24 11,60,44
2023-02-24 10,72,53
2023-02-24 09,76,53
2023-02-24 08,75,52
2023-02-24 07,61,41
2023-02-24 06,50,35
2023-02-24 05,47,34
2023-02-24 04,48,33
2023-02-24 03,40,27
2023-02-24 02,28,21
2023-02-24 01,29,19
2023-02-24 00,30,20
2023-02-23 23,33,21
2023-02-23 22,39,23
2023-02-23 21,39,24
2023-02-23 20,30,19
2023-02-23 19,19,12
2023-02-23 18,24,15
2023-02-23 17,22,14
2023-02-23 16,14,10
2023-02-23 15,11,8
2023-02-23 14,7,5
2023-02-23 13,8,3
2023-02-23 12,8,2
2023-02-23 11,4,
2023-02-23 10,15,11
2023-02-23 09,20,13
2023-02-23 08,16,15
2023-02-23 07,15,12
2023-02-23 06,17,12
2023-02-23 05,16,12
2023-02-23 04,15,13
2023-02-23 03,16,9
2023-02-23 02,17,12
2023-02-23 01,21,13
2023-02-23 00,19,11
2023-02-22 23,18,11
2023-02-22 22,20,13
2023-02-22 21,20,12
2023-02-22 20,19,8
2023-02-22 19,19,9
2023-02-22 18,23,12
2023-02-22 17,27,14
2023-02-22 16,20,12
