date,pm10,pm25
2023-04-16 01,21,13
2023-04-16 02,15,11
2023-04-16 03,15,11
2023-04-16 04,14,7
2023-04-16 05,16,12
2023-04-16 06,17,10
2023-04-16 07,22,13
2023-04-16 08,30,17
2023-04-16 09,30,18
2023-04-16 10,41,13
2023-04-16 11,64,19
2023-04-16 12,90,25
2023-04-16 13,120,24
2023-04-16 14,137,25
2023-04-16 15,140,30
2023-04-16 16,121,27
2023-04-16 17,108,26
2023-04-16 18,88,22
2023-04-16 19,83,21
2023-04-16 20,83,23
2023-04-16 21,78,23
2023-04-16 22,75,23
2023-04-16 23,79,26
2023-04-17 00,72,24
2023-04-17 01,66,22
2023-04-17 02,65,22
2023-04-17 03,63,23
2023-04-17 04,59,20
2023-04-17 05,55,17
2023-04-17 06,53,20
2023-04-17 07,52,17
2023-04-17 08,49,14
2023-04-17 09,57,16
2023-04-17 10,70,20
2023-04-17 11,96,22
2023-04-17 12,100,23
2023-04-17 13,86,22
2023-04-17 14,70,18
2023-04-17 15,81,22
2023-04-17 16,,
2023-04-17 17,,
2023-04-17 18,91,26
2023-04-17 19,94,28
2023-04-17 20,92,23
2023-04-17 21,92,25
2023-04-17 22,96,27
2023-04-17 23,96,25
2023-04-18 00,91,25
2023-04-18 01,80,25
2023-04-18 02,77,25
2023-04-18 03,77,27
2023-04-18 04,73,27
2023-04-18 05,74,27
2023-04-18 06,74,26
2023-04-18 07,80,30
2023-04-18 08,91,38
2023-04-18 09,96,36
2023-04-18 10,85,29
2023-04-18 11,88,32
2023-04-18 12,78,26
2023-04-18 13,73,24
2023-04-18 14,69,23
2023-04-18 15,63,23
2023-04-18 16,64,25
2023-04-18 17,71,34
2023-04-18 18,58,30
2023-04-18 19,51,27
2023-04-18 20,59,32
2023-04-18 21,48,21
2023-04-18 22,43,20
2023-04-18 23,41,21
2023-04-19 00,44,21
2023-04-19 01,45,23
2023-04-19 02,46,24
2023-04-19 03,46,22
2023-04-19 04,45,24
2023-04-19 05,44,26
2023-04-19 06,45,25
2023-04-19 07,48,25
2023-04-19 08,48,22
2023-04-19 09,49,25
2023-04-19 10,47,29
2023-04-19 11,51,31
2023-04-19 12,61,40
2023-04-19 13,56,34
2023-04-19 14,50,33
2023-04-19 15,35,24
2023-04-19 16,28,21
2023-04-19 17,25,18
2023-04-19 18,25,16
2023-04-19 19,30,21
2023-04-19 20,38,23
2023-04-19 21,41,22
2023-04-19 22,32,18
2023-04-19 23,30,19
2023-04-20 00,34,22
2023-04-20 01,34,21
2023-04-20 02,36,22
2023-04-20 03,35,24
2023-04-20 04,34,21
2023-04-20 05,35,21
2023-04-20 06,39,23
2023-04-20 07,44,25
2023-04-20 08,42,24
2023-04-20 09,49,29
2023-04-20 10,47,34
2023-04-20 11,53,38
2023-04-20 12,46,26
2023-04-20 13,45,21
2023-04-20 14,48,25
2023-04-20 15,53,26
2023-04-20 16,57,31
2023-04-20 17,57,29
2023-04-20 18,48,24
2023-04-20 19,42,23
2023-04-20 20,44,25
2023-04-20 21,41,23
2023-04-20 22,43,23
2023-04-20 23,48,26
2023-04-21 00,52,33
2023-04-21 01,51,31
2023-04-21 02,49,31
2023-04-21 03,39,29
2023-04-21 04,37,26
2023-04-21 05,43,30
2023-04-21 06,46,33
2023-04-21 07,42,27
2023-04-21 08,36,21
2023-04-21 09,31,14
2023-04-21 10,37,19
2023-04-21 11,50,26
2023-04-21 12,59,20
2023-04-21 13,64,18
2023-04-21 14,55,16
2023-04-21 15,54,20
2023-04-21 16,53,21
2023-04-21 17,74,23
2023-04-21 18,122,24
2023-04-21 19,185,29
2023-04-21 20,256,38
2023-04-21 21,304,46
2023-04-21 22,343,50
2023-04-21 23,338,49
2023-04-22 00,350,46
2023-04-22 01,327,45
2023-04-22 02,319,45
