date,pm10,pm25
2022-12-01 01,11,3
2022-12-01 02,12,5
2022-12-01 03,12,5
2022-12-01 04,12,7
2022-12-01 05,13,6
2022-12-01 06,13,6
2022-12-01 07,11,6
2022-12-01 08,11,5
2022-12-01 09,13,5
2022-12-01 10,13,6
2022-12-01 11,13,6
2022-12-01 12,9,4
2022-12-01 13,15,6
2022-12-01 14,17,9
2022-12-01 15,12,5
2022-12-01 16,9,3
2022-12-01 17,13,6
2022-12-01 18,10,6
2022-12-01 19,16,9
2022-12-01 20,19,11
2022-12-01 21,18,9
2022-12-01 22,16,7
2022-12-01 23,14,9
2022-12-02 00,14,9
2022-12-02 01,19,10
2022-12-02 02,15,9
2022-12-02 03,15,10
2022-12-02 04,16,9
2022-12-02 05,17,8
2022-12-02 06,16,9
2022-12-02 07,20,11
2022-12-02 08,22,11
2022-12-02 09,28,13
2022-12-02 10,26,14
2022-12-02 11,24,14
2022-12-02 12,25,12
2022-12-02 13,20,9
2022-12-02 14,13,6
2022-12-02 15,18,9
2022-12-02 16,15,8
2022-12-02 17,16,10
2022-12-02 18,20,13
2022-12-02 19,30,16
2022-12-02 20,34,17
2022-12-02 21,29,16
2022-12-02 22,34,18
2022-12-02 23,29,17
2022-12-03 00,24,14
2022-12-03 01,24,15
2022-12-03 02,25,17
2022-12-03 03,24,17
2022-12-03 04,24,16
2022-12-03 05,26,16
2022-12-03 06,25,17
2022-12-03 07,23,15
2022-12-03 08,24,15
2022-12-03 09,24,16
2022-12-03 10,32,21
2022-12-03 11,35,24
2022-12-03 12,33,22
2022-12-03 13,34,22
2022-12-03 14,35,22
2022-12-03 15,31,22
2022-12-03 16,35,22
2022-12-03 17,38,23
2022-12-03 18,41,26
2022-12-03 19,55,31
2022-12-03 20,50,28
2022-12-03 21,49,28
2022-12-03 22,47,29
2022-12-03 23,45,26
2022-12-04 00,43,25
2022-12-04 01,40,26
2022-12-04 02,42,27
2022-12-04 03,42,30
2022-12-04 04,44,26
2022-12-04 05,51,27
2022-12-04 06,54,28
2022-12-04 07,61,30
2022-12-04 08,61,29
2022-12-04 09,59,28
2022-12-04 10,43,22
2022-12-04 11,26,13
2022-12-04 12,17,8
2022-12-04 13,21,11
2022-12-04 14,19,10
2022-12-04 15,14,6
2022-12-04 16,16,7
2022-12-04 17,14,6
2022-12-04 18,15,10
2022-12-04 19,13,8
2022-12-04 20,12,7
2022-12-04 21,6,5
2022-12-04 22,10,5
2022-12-04 23,10,6
2022-12-05 00,10,6
2022-12-05 01,9,8
2022-12-05 02,10,7
2022-12-05 03,9,5
2022-12-05 04,8,6
2022-12-05 05,9,8
2022-12-05 06,11,9
2022-12-05 07,14,7
2022-12-05 08,12,8
2022-12-05 09,14,10
2022-12-05 10,16,9
2022-12-05 11,17,8
2022-12-05 12,13,8
2022-12-05 13,12,6
2022-12-05 14,13,6
2022-12-05 15,11,5
2022-12-05 16,11,6
2022-12-05 17,9,4
2022-12-05 18,,
2022-12-05 19,,
2022-12-05 20,14,11
2022-12-05 21,9,5
2022-12-05 22,8,5
2022-12-05 23,7,6
2022-12-06 00,11,6
2022-12-06 01,9,6
2022-12-06 02,10,6
2022-12-06 03,12,7
2022-12-06 04,17,10
2022-12-06 05,15,8
2022-12-06 06,18,10
2022-12-06 07,26,12
2022-12-06 08,26,12
2022-12-06 09,27,15
2022-12-06 10,28,18
2022-12-06 11,38,23
2022-12-06 12,43,27
2022-12-06 13,41,23
2022-12-06 14,35,21
2022-12-06 15,37,19
2022-12-06 16,40,18
2022-12-06 17,36,19
2022-12-06 18,34,16
2022-12-06 19,28,14
2022-12-06 20,28,14
2022-12-06 21,48,24
2022-12-06 22,43,23
2022-12-06 23,38,22
2022-12-07 00,38,18
2022-12-07 01,30,17
2022-12-07 02,25,14
2022-12-07 03,25,13
2022-12-07 04,21,14
2022-12-07 05,26,15
2022-12-07 06,29,15
2022-12-07 07,32,20
2022-12-07 08,37,22
2022-12-07 09,42,23
2022-12-07 10,44,29
2022-12-07 11,53,32
2022-12-07 12,62,35
2022-12-07 13,56,28
2022-12-07 14,44,24
2022-12-07 15,40,21
2022-12-07 16,38,22
2022-12-07 17,38,22
2022-12-07 18,39,19
2022-12-07 19,39,19
2022-12-07 20,39,20
2022-12-07 21,50,25
2022-12-07 22,48,25
