date,pm10,pm25
2023-04-01 01,67,39
2023-04-01 02,62,40
2023-04-01 03,60,34
2023-04-01 04,55,34
2023-04-01 05,55,34
2023-04-01 06,51,32
2023-04-01 07,58,39
2023-04-01 08,51,32
2023-04-01 09,46,29
2023-04-01 10,58,33
2023-04-01 11,61,32
2023-04-01 12,61,33
2023-04-01 13,52,25
2023-04-01 14,41,22
2023-04-01 15,48,22
2023-04-01 16,40,23
2023-04-01 17,64,39
2023-04-01 18,71,36
2023-04-01 19,60,31
2023-04-01 20,55,29
2023-04-01 21,59,30
2023-04-01 22,63,35
2023-04-01 23,63,37
2023-04-02 00,63,36
2023-04-02 01,57,33
2023-04-02 02,60,37
2023-04-02 03,54,32
2023-04-02 04,50,31
2023-04-02 05,49,28
2023-04-02 06,46,31
2023-04-02 07,40,26
2023-04-02 08,38,24
2023-04-02 09,38,24
2023-04-02 10,,
2023-04-02 11,26,17
2023-04-02 12,25,15
2023-04-02 13,23,16
2023-04-02 14,21,16
2023-04-02 15,27,18
2023-04-02 16,33,18
2023-04-02 17,33,25
2023-04-02 18,37,25
2023-04-02 19,35,23
2023-04-02 20,34,24
2023-04-02 21,34,25
2023-04-02 22,37,28
2023-04-02 23,44,36
2023-04-03 00,46,40
2023-04-03 01,48,39
2023-04-03 02,40,35
2023-04-03 03,42,32
2023-04-03 04,38,29
2023-04-03 05,37,31
2023-04-03 06,43,31
2023-04-03 07,43,31
2023-04-03 08,43,28
2023-04-03 09,39,27
2023-04-03 10,35,27
2023-04-03 11,38,22
2023-04-03 12,35,18
2023-04-03 13,35,19
2023-04-03 14,31,17
2023-04-03 15,31,17
2023-04-03 16,34,19
2023-04-03 17,35,22
2023-04-03 18,37,22
2023-04-03 19,29,18
2023-04-03 20,28,17
2023-04-03 21,25,14
2023-04-03 22,27,14
2023-04-03 23,28,14
2023-04-04 00,29,16
2023-04-04 01,28,15
2023-04-04 02,27,16
2023-04-04 03,24,17
2023-04-04 04,26,17
2023-04-04 05,24,16
2023-04-04 06,22,16
2023-04-04 07,22,16
2023-04-04 08,25,15
2023-04-04 09,25,10
2023-04-04 10,21,12
2023-04-04 11,21,12
2023-04-04 12,18,7
2023-04-04 13,24,15
2023-04-04 14,31,17
2023-04-04 15,33,20
2023-04-04 16,36,23
2023-04-04 17,35,23
2023-04-04 18,37,21
2023-04-04 19,33,18
2023-04-04 20,35,20
2023-04-04 21,36,22
2023-04-04 22,33,22
2023-04-04 23,38,21
2023-04-05 00,36,22
2023-04-05 01,31,20
2023-04-05 02,27,18
2023-04-05 03,24,16
2023-04-05 04,23,14
2023-04-05 05,25,18
2023-04-05 06,32,20
2023-04-05 07,28,17
2023-04-05 08,21,14
2023-04-05 09,16,13
2023-04-05 10,,
2023-04-05 11,16,12
2023-04-05 12,19,17
2023-04-05 13,13,9
2023-04-05 14,6,6
2023-04-05 15,9,8
2023-04-05 16,14,12
2023-04-05 17,9,
