date,pm10,pm25
2022-12-16 01,32,17
2022-12-16 02,28,15
2022-12-16 03,27,17
2022-12-16 04,29,17
2022-12-16 05,29,17
2022-12-16 06,33,18
2022-12-16 07,39,21
2022-12-16 08,51,25
2022-12-16 09,62,31
2022-12-16 10,47,24
2022-12-16 11,33,17
2022-12-16 12,20,11
2022-12-16 13,19,9
2022-12-16 14,14,7
2022-12-16 15,14,6
2022-12-16 16,17,9
2022-12-16 17,23,11
2022-12-16 18,17,8
2022-12-16 19,15,6
2022-12-16 20,14,5
2022-12-16 21,11,6
2022-12-16 22,13,6
2022-12-16 23,13,6
2022-12-17 00,10,4
2022-12-17 01,9,6
2022-12-17 02,13,7
2022-12-17 03,12,7
2022-12-17 04,14,7
2022-12-17 05,11,4
2022-12-17 06,11,4
2022-12-17 07,10,4
2022-12-17 08,9,4
2022-12-17 09,15,7
2022-12-17 10,26,12
2022-12-17 11,23,12
2022-12-17 12,24,10
2022-12-17 13,28,12
2022-12-17 14,16,9
2022-12-17 15,13,7
2022-12-17 16,10,6
2022-12-17 17,20,10
2022-12-17 18,22,11
2022-12-17 19,22,10
2022-12-17 20,22,12
2022-12-17 21,16,11
2022-12-17 22,15,10
2022-12-17 23,16,13
2022-12-18 00,19,14
2022-12-18 01,18,13
2022-12-18 02,20,11
2022-12-18 03,18,12
2022-12-18 04,19,11
2022-12-18 05,20,12
2022-12-18 06,18,12
2022-12-18 07,19,13
2022-12-18 08,17,14
2022-12-18 09,19,13
2022-12-18 10,17,11
2022-12-18 11,19,12
2022-12-18 12,20,13
2022-12-18 13,20,13
2022-12-18 14,18,12
2022-12-18 15,21,12
2022-12-18 16,21,14
2022-12-18 17,18,10
2022-12-18 18,13,8
2022-12-18 19,12,8
2022-12-18 20,10,7
2022-12-18 21,13,8
2022-12-18 22,13,7
2022-12-18 23,12,8
2022-12-19 00,12,9
2022-12-19 01,13,9
2022-12-19 02,13,11
2022-12-19 03,15,9
2022-12-19 04,15,10
2022-12-19 05,15,9
2022-12-19 06,15,10
2022-12-19 07,18,12
2022-12-19 08,24,16
2022-12-19 09,27,15
2022-12-19 10,37,24
2022-12-19 11,36,23
2022-12-19 12,28,17
2022-12-19 13,29,17
2022-12-19 14,31,17
2022-12-19 15,36,17
2022-12-19 16,44,23
2022-12-19 17,43,20
2022-12-19 18,51,23
2022-12-19 19,53,23
2022-12-19 20,60,27
2022-12-19 21,51,26
2022-12-19 22,45,23
2022-12-19 23,45,21
2022-12-20 00,45,22
2022-12-20 01,38,21
2022-12-20 02,35,21
2022-12-20 03,37,20
2022-12-20 04,37,21
2022-12-20 05,34,22
2022-12-20 06,39,23
2022-12-20 07,38,24
2022-12-20 08,41,26
2022-12-20 09,46,31
2022-12-20 10,43,27
2022-12-20 11,56,34
2022-12-20 12,52,31
2022-12-20 13,47,27
2022-12-20 14,45,25
2022-12-20 15,40,22
2022-12-20 16,39,18
2022-12-20 17,42,17
2022-12-20 18,52,23
2022-12-20 19,55,28
2022-12-20 20,52,28
2022-12-20 21,51,26
2022-12-20 22,49,25
2022-12-20 23,47,26
2022-12-21 00,41,26
2022-12-21 01,37,23
2022-12-21 02,40,26
2022-12-21 03,37,24
2022-12-21 04,37,24
2022-12-21 05,37,27
2022-12-21 06,39,26
2022-12-21 07,35,25
2022-12-21 08,34,24
2022-12-21 09,37,23
2022-12-21 10,,
2022-12-21 11,35,26
2022-12-21 12,40,32
2022-12-21 13,36,30
2022-12-21 14,38,29
2022-12-21 15,35,25
2022-12-21 16,28,22
2022-12-21 17,29,22
2022-12-21 18,35,25
2022-12-21 19,34,24
2022-12-21 20,34,24
2022-12-21 21,28,20
2022-12-21 22,34,20
2022-12-21 23,32,20
2022-12-22 00,35,18
2022-12-22 01,34,19
2022-12-22 02,34,19
2022-12-22 03,26,13
2022-12-22 04,34,16
2022-12-22 05,32,10
2022-12-22 06,33,11
2022-12-22 07,33,13
2022-12-22 08,31,17
2022-12-22 09,43,23
2022-12-22 10,52,29
2022-12-22 11,31,17
2022-12-22 12,22,13
2022-12-22 13,19,9
2022-12-22 14,19,10
2022-12-22 15,17,5
2022-12-22 16,18,8
