date,PM2.5,PM10,O3,NO2,CO,SO2
2022-12-01 0:00,16,17,0.027,0.005,0.3,0.001
2022-12-01 1:00,15,17,0.027,0.004,0.3,0.001
2022-12-01 2:00,17,22,0.027,0.004,0.2,0.001
2022-12-01 3:00,,18,0.027,0.004,0.2,0.001
2022-12-01 4:00,20,24,0.025,0.005,0.3,0.001
2022-12-01 5:00,20,23,0.026,0.005,0.3,0.001
2022-12-01 6:00,14,16,0.029,0.005,0.2,0.001
2022-12-01 7:00,12,13,0.03,0.005,0.2,0.001
2022-12-01 8:00,10,17,0.028,0.006,0.2,0.001
2022-12-01 9:00,13,17,0.026,0.008,0.3,0.001
2022-12-01 10:00,16,25,0.026,0.008,0.3,0.001
2022-12-01 11:00,14,27,0.027,0.007,0.3,0.001
2022-12-01 12:00,11,23,0.029,0.006,0.3,0.001
2022-12-01 13:00,11,21,0.03,0.005,0.3,0.001
2022-12-01 14:00,13,21,0.031,0.005,0.3,0.001
2022-12-01 15:00,17,23,0.031,0.007,0.3,0.001
2022-12-01 16:00,13,24,0.032,0.006,0.3,0.001
2022-12-01 17:00,14,27,0.029,0.008,0.3,0.001
2022-12-01 18:00,19,24,0.028,0.009,0.3,0.001
2022-12-01 19:00,18,32,0.026,0.01,0.3,0.001
2022-12-01 20:00,21,27,0.024,0.011,0.4,0.001
2022-12-01 21:00,20,27,0.022,0.011,0.4,0.001
2022-12-01 22:00,18,28,0.026,0.008,0.3,0.001
2022-12-01 23:00,21,28,0.025,0.007,0.3,0.001
2022-12-02 0:00,21,27,0.025,0.008,0.3,0.001
2022-12-02 1:00,23,29,0.023,0.01,0.3,0.001
2022-12-02 2:00,27,30,0.023,0.009,0.3,0.001
2022-12-02 3:00,25,30,0.019,0.011,0.4,0.001
2022-12-02 4:00,25,31,0.017,0.011,0.3,0.001
2022-12-02 5:00,27,40,0.015,0.011,0.4,0.001
2022-12-02 6:00,27,27,0.016,0.012,0.3,0.001
2022-12-02 7:00,22,33,0.018,0.011,0.3,0.001
2022-12-02 8:00,27,40,0.017,0.013,0.3,0.001
2022-12-02 9:00,26,34,0.021,0.011,0.3,0.001
2022-12-02 10:00,23,30,0.026,0.009,0.3,0.001
2022-12-02 11:00,20,26,0.03,0.006,0.3,0.001
2022-12-02 12:00,18,24,0.03,0.008,0.3,0.001
2022-12-02 13:00,16,23,0.03,0.008,0.3,0.001
2022-12-02 14:00,17,27,0.032,0.008,0.3,0.001
2022-12-02 15:00,18,26,0.032,0.008,0.3,0.001
2022-12-02 16:00,20,22,0.032,0.009,0.3,0.001
2022-12-02 17:00,17,21,0.031,0.011,0.3,0.001
2022-12-02 18:00,17,27,0.028,0.012,0.3,0.001
2022-12-02 19:00,25,29,0.024,0.016,0.4,0.001
2022-12-02 20:00,,,0.026,0.013,0.3,0.001
2022-12-02 21:00,27,28,,,,
2022-12-02 22:00,27,33,0.021,0.016,0.4,0.001
2022-12-02 23:00,26,35,0.021,0.014,0.3,0.001
2022-12-03 0:00,25,31,0.019,0.016,0.4,0.001
2022-12-03 1:00,31,38,0.014,0.019,0.4,0.001
2022-12-03 2:00,30,34,0.012,0.022,0.4,0.001
2022-12-03 3:00,25,31,0.014,0.019,0.4,0.001
2022-12-03 4:00,26,28,0.016,0.015,0.4,0.001
2022-12-03 5:00,24,36,0.018,0.013,0.3,0.001
2022-12-03 6:00,26,28,0.02,0.011,0.3,0.001
2022-12-03 7:00,22,32,0.019,0.014,0.3,0.001
2022-12-03 8:00,28,31,0.015,0.018,0.3,0.001
