일시,기온,풍향(16방위),풍속(m/s),상대습도(%)
2023-03-01 0:05,10.2,219.1,2.1,63
2023-03-01 0:10,10.1,233.2,1.6,64
2023-03-01 0:15,10,239.3,1.8,65
2023-03-01 0:20,10.1,239.8,1.4,64
2023-03-01 0:25,10.2,242.8,1.3,63
2023-03-01 0:30,10.1,226.2,0.9,63
2023-03-01 0:35,10,256,0.9,64
2023-03-01 0:40,10,236.5,1.2,64
2023-03-01 0:45,9.9,191.6,1.3,64
2023-03-01 0:50,9.8,219.3,1.3,65
2023-03-01 0:55,9.8,230.5,0.7,65
2023-03-01 1:00,9.8,302.9,0.7,64
2023-03-01 1:05,9.8,331.9,0.8,65
2023-03-01 1:10,9.7,14.3,0.7,65
2023-03-01 1:15,9.6,5.2,0.7,65
2023-03-01 1:20,9.4,11.8,0.3,66
2023-03-01 1:25,9.3,26.3,0.7,66
2023-03-01 1:30,9.3,37.2,1,66
2023-03-01 1:35,9.3,21.7,0.8,66
2023-03-01 1:40,9.3,43.8,0.7,66
2023-03-01 1:45,9.3,67.4,0.8,66
2023-03-01 1:50,9.3,92.9,0.7,66
2023-03-01 1:55,9.3,83.8,0.9,67
2023-03-01 2:00,9.1,83.5,1.2,67
2023-03-01 2:05,8.6,87.8,1,69
2023-03-01 2:10,8.4,93,1,70
2023-03-01 2:15,8.4,228.8,0.1,70
2023-03-01 2:20,8.6,233.8,0.2,69
2023-03-01 2:25,8.8,296.1,0.3,68
2023-03-01 2:30,8.8,0.3,0.2,67
2023-03-01 2:35,8.9,337.8,0.4,67
2023-03-01 2:40,8.9,110.8,0.2,67
2023-03-01 2:45,9,28.1,0.2,67
2023-03-01 2:50,9,343.2,0.4,67
2023-03-01 2:55,9,249.2,0.4,67
2023-03-01 3:00,8.9,284.2,0.1,67
2023-03-01 3:05,8.9,222.5,0.4,67
2023-03-01 3:10,8.8,175.2,0.1,68
2023-03-01 3:15,8.8,284.3,0.2,68
2023-03-01 3:20,8.7,22.3,0.1,68
2023-03-01 3:25,8.8,320.7,0.7,68
2023-03-01 3:30,8.7,285.1,0.2,68
2023-03-01 3:35,8.7,318.9,0.8,68
2023-03-01 3:40,8.6,260,0.3,68
2023-03-01 3:45,8.5,241.1,0.5,68
2023-03-01 3:50,8.4,288.4,0.8,69
2023-03-01 3:55,8.4,342.9,0.4,69
2023-03-01 4:00,8.3,232.3,0.4,69
2023-03-01 4:05,8.3,199,0.8,69
2023-03-01 4:10,8.1,212.1,0.6,70
2023-03-01 4:15,7.9,218.2,0.8,71
2023-03-01 4:20,7.8,321.3,0.9,71
2023-03-01 4:25,7.8,231.4,0.3,71
2023-03-01 4:30,7.8,218.3,1.1,71
2023-03-01 4:35,7.7,200.5,1.1,71
2023-03-01 4:40,7.5,232.1,0.6,72
2023-03-01 4:45,7.5,237.8,0.4,72
2023-03-01 4:50,7.5,299.9,0.5,72
2023-03-01 4:55,7.5,276.2,0.3,72
2023-03-01 5:00,7.4,220,0.6,72
2023-03-01 5:05,7.4,261.1,0.5,72
2023-03-01 5:10,7.5,298.2,0.1,71
2023-03-01 5:15,7.5,262.5,0.7,72
2023-03-01 5:20,7.5,235.9,0.7,71
2023-03-01 5:25,7.6,216.4,0.7,71
2023-03-01 5:30,7.5,241,0.4,71
2023-03-01 5:35,7.5,299,0.5,71
2023-03-01 5:40,7.5,315.7,0.1,71
2023-03-01 5:45,7.6,227.7,0.4,71
2023-03-01 5:50,7.6,225.1,0.5,71
2023-03-01 5:55,7.6,211.5,0.7,71
2023-03-01 6:00,7.6,203.4,0.9,72
2023-03-01 6:05,7.4,228.2,1,72
2023-03-01 6:10,7.3,229.8,0.9,74
2023-03-01 6:15,7.2,278.2,0.6,75
2023-03-01 6:20,7.2,300.7,0.6,73
