no,device_id,pm25,pm10,temp,humi,reg_date
2542630,D0012,9.8,9.9,7.7,50.7,2023-02-16 01:00:42.534688
2542649,D0012,10.7,10.7,7.7,50.6,2023-02-16 01:01:42.525965
2542668,D0012,10.6,10.6,7.7,51.4,2023-02-16 01:02:42.526522
2542687,D0012,10.4,10.4,7.7,50.9,2023-02-16 01:03:42.535727
2542706,D0012,12.2,12.3,7.7,51.5,2023-02-16 01:04:42.535148
2542725,D0012,11.8,11.9,7.6,51.4,2023-02-16 01:05:42.537528
2542744,D0012,12.7,12.8,7.4,51.6,2023-02-16 01:06:41.555044
2542763,D0012,12.1,12.1,7.4,51.7,2023-02-16 01:07:42.546028
2542782,D0012,12.9,13.0,7.3,51.8,2023-02-16 01:08:42.553947
2542801,D0012,13.2,13.2,7.5,51.8,2023-02-16 01:09:42.55413
2542820,D0012,13.3,13.3,7.5,52.2,2023-02-16 01:10:41.555557
2542839,D0012,12.4,12.4,7.6,51.8,2023-02-16 01:11:42.555828
2542858,D0012,12.2,12.3,7.6,51.8,2023-02-16 01:12:42.555899
2542877,D0012,12.4,12.4,7.6,51.9,2023-02-16 01:13:41.574881
2542896,D0012,13.5,13.5,7.7,51.8,2023-02-16 01:14:42.566027
2542915,D0012,14.4,14.7,7.6,51.7,2023-02-16 01:15:42.573782
2542934,D0012,13.6,13.8,7.7,51.7,2023-02-16 01:16:41.564083
2542953,D0012,13.7,13.9,7.7,51.6,2023-02-16 01:17:42.57617
2542972,D0012,13.8,14.0,7.6,51.7,2023-02-16 01:18:42.584488
2542991,D0012,13.8,13.9,7.7,51.8,2023-02-16 01:19:42.575148
2543010,D0012,13.9,14.1,7.6,52.1,2023-02-16 01:20:42.58491
2543028,D0012,14.4,14.6,7.6,51.7,2023-02-16 01:21:42.586599
2543046,D0012,13.2,13.4,7.6,51.7,2023-02-16 01:22:42.584948
2543065,D0012,12.7,12.7,7.5,51.6,2023-02-16 01:23:41.613614
2543084,D0012,13.2,13.2,7.4,51.2,2023-02-16 01:24:42.596171
2543102,D0012,14.2,14.2,7.6,50.8,2023-02-16 01:25:42.594208
2543120,D0012,14.3,14.4,7.7,50.9,2023-02-16 01:26:41.602638
2543138,D0012,13.9,14.0,7.7,51.2,2023-02-16 01:27:42.605986
2543156,D0012,15.2,15.3,7.6,51.6,2023-02-16 01:28:42.614967
2543174,D0012,14.7,14.8,7.6,51.6,2023-02-16 01:29:42.613323
2543192,D0012,14.3,14.4,7.5,51.3,2023-02-16 01:30:41.615708
2543210,D0012,13.7,13.9,7.6,51.1,2023-02-16 01:31:42.615039
2543228,D0012,14.6,14.8,7.6,51.1,2023-02-16 01:32:42.615184
2543246,D0012,14.4,14.6,7.5,51.6,2023-02-16 01:33:42.633344
2543264,D0012,14.5,14.7,7.6,51.6,2023-02-16 01:34:42.626704
2543282,D0012,14.2,14.3,7.5,51.8,2023-02-16 01:35:42.633097
2543300,D0012,14.6,14.8,7.5,51.4,2023-02-16 01:36:42.624658
2543318,D0012,14.9,15.1,7.4,51.7,2023-02-16 01:37:42.635772
2543336,D0012,14.4,14.6,7.3,51.9,2023-02-16 01:38:42.643422
2543354,D0012,14.5,14.6,7.2,51.4,2023-02-16 01:39:42.636149
2543372,D0012,14.0,14.2,7.4,51.0,2023-02-16 01:40:41.645713
2543391,D0012,14.3,14.4,7.5,50.8,2023-02-16 01:41:42.644621
2543409,D0012,14.0,14.1,7.5,51.3,2023-02-16 01:42:42.643595
2543427,D0012,15.2,15.3,7.5,51.9,2023-02-16 01:43:42.65313
2543445,D0012,15.6,15.8,7.4,51.6,2023-02-16 01:44:42.662336
2543463,D0012,14.8,14.8,7.4,51.7,2023-02-16 01:45:42.653186
2543481,D0012,14.0,14.1,7.4,51.9,2023-02-16 01:46:42.654016
2543499,D0012,14.7,14.8,7.4,51.9,2023-02-16 01:47:41.665182
2543517,D0012,14.5,14.7,7.5,51.6,2023-02-16 01:48:42.672994
2543535,D0012,14.4,14.6,7.5,51.6,2023-02-16 01:49:42.664697
2543553,D0012,14.8,14.9,7.4,51.7,2023-02-16 01:50:42.678547
2543571,D0012,15.4,15.6,7.4,51.7,2023-02-16 01:51:42.672825
2543589,D0012,14.8,14.8,7.4,51.7,2023-02-16 01:52:42.672915
2543607,D0012,14.8,14.8,7.4,51.6,2023-02-16 01:53:42.684039
2543625,D0012,14.8,14.8,7.3,51.7,2023-02-16 01:54:41.691085
2543643,D0012,14.2,14.3,7.2,51.5,2023-02-16 01:55:42.683131
2543662,D0012,14.2,14.5,7.3,51.4,2023-02-16 01:56:42.682574
2543680,D0012,13.5,13.6,7.5,51.1,2023-02-16 01:57:42.694055
2543698,D0012,15.1,15.1,7.6,51.5,2023-02-16 01:58:41.710344
2543716,D0012,14.3,14.5,7.5,51.7,2023-02-16 01:59:42.700821
2543734,D0012,14.4,14.6,7.5,51.6,2023-02-16 02:00:42.69346
2543752,D0012,15.0,15.0,7.6,51.3,2023-02-16 02:01:41.703921
2543770,D0012,15.3,15.4,7.6,51.1,2023-02-16 02:02:42.703808
2543788,D0012,14.0,14.1,7.6,51.3,2023-02-16 02:03:42.712407
2543807,D0012,14.7,14.9,7.6,51.3,2023-02-16 02:04:41.714905
2543825,D0012,15.3,15.5,7.6,50.9,2023-02-16 02:05:42.713055
2543843,D0012,14.5,14.8,7.5,51.2,2023-02-16 02:06:42.721462
2543861,D0012,14.7,15.0,7.5,51.2,2023-02-16 02:07:41.713785
2543879,D0012,14.4,14.6,7.5,51.2,2023-02-16 02:08:42.732495
2543897,D0012,15.0,15.2,7.4,51.2,2023-02-16 02:09:42.724559
2543915,D0012,15.0,15.2,7.3,51.2,2023-02-16 02:10:42.72299
2543933,D0012,13.9,14.1,7.3,51.3,2023-02-16 02:11:42.733649
2543951,D0012,14.5,14.6,7.3,50.9,2023-02-16 02:12:42.732785
2543970,D0012,12.9,13.0,7.5,50.6,2023-02-16 02:13:42.750169
2543989,D0012,13.8,13.9,7.6,50.8,2023-02-16 02:14:42.743236
2544007,D0012,14.4,14.5,7.5,50.7,2023-02-16 02:15:42.758606
2544025,D0012,15.7,15.8,7.4,51.1,2023-02-16 02:16:42.743309
2544043,D0012,14.2,14.4,7.4,51.0,2023-02-16 02:17:42.742748
2544061,D0012,14.5,14.7,7.4,50.8,2023-02-16 02:18:41.762976
2544079,D0012,15.2,15.3,7.4,51.1,2023-02-16 02:19:42.752866
2544097,D0012,14.8,14.9,7.4,50.9,2023-02-16 02:20:42.752461
2544115,D0012,14.9,15.0,7.3,51.6,2023-02-16 02:21:41.763404
2544133,D0012,14.8,14.8,7.2,51.8,2023-02-16 02:22:42.762516
2544151,D0012,14.4,14.5,7.2,51.7,2023-02-16 02:23:42.780928
2544169,D0012,14.3,14.4,7.2,51.4,2023-02-16 02:24:42.761937
2544187,D0012,13.5,13.5,7.2,52.0,2023-02-16 02:25:42.77331
2544205,D0012,14.4,14.5,7.1,51.7,2023-02-16 02:26:42.773067
2544223,D0012,14.3,14.3,7.1,51.2,2023-02-16 02:27:42.774748
2544242,D0012,14.2,14.4,7.2,51.2,2023-02-16 02:28:41.79359
2544260,D0012,14.0,14.0,7.3,50.8,2023-02-16 02:29:42.78358
2544278,D0012,14.9,15.1,7.4,51.2,2023-02-16 02:30:42.782559
2544296,D0012,13.3,13.4,7.3,51.4,2023-02-16 02:31:42.782549
2544314,D0012,14.1,14.2,7.3,51.2,2023-02-16 02:32:42.792175
2544332,D0012,13.8,14.0,7.4,51.5,2023-02-16 02:33:42.802413
2544350,D0012,13.1,13.3,7.4,51.3,2023-02-16 02:34:41.792997
2544368,D0012,14.1,14.2,7.5,51.7,2023-02-16 02:35:42.802398
2544387,D0012,14.1,14.1,7.5,51.9,2023-02-16 02:36:42.804208
2544405,D0012,14.5,14.5,7.4,51.1,2023-02-16 02:37:42.804343
2544423,D0012,14.0,14.1,7.4,51.6,2023-02-16 02:38:41.823168
2544441,D0012,13.8,13.9,7.4,51.9,2023-02-16 02:39:42.813275
2544460,D0012,14.5,14.7,7.3,51.8,2023-02-16 02:40:42.812808
2544478,D0012,14.3,14.5,7.3,51.8,2023-02-16 02:41:42.830228
2544496,D0012,13.8,13.8,7.2,51.0,2023-02-16 02:42:42.824732
2544514,D0012,13.8,14.0,7.2,50.8,2023-02-16 02:43:42.835885
2544532,D0012,12.5,12.7,7.3,50.7,2023-02-16 02:44:42.82243
2544550,D0012,13.1,13.1,7.5,50.7,2023-02-16 02:45:42.832849
2544569,D0012,12.8,12.9,7.5,50.9,2023-02-16 02:46:42.834231
2544587,D0012,13.6,13.7,7.5,51.5,2023-02-16 02:47:42.834696
2544605,D0012,13.8,14.0,7.5,51.6,2023-02-16 02:48:41.843344
2544623,D0012,14.3,14.5,7.5,51.6,2023-02-16 02:49:42.844424
2544641,D0012,14.0,14.1,7.5,51.3,2023-02-16 02:50:42.843685
2544659,D0012,14.4,14.5,7.5,50.7,2023-02-16 02:51:42.845088
2544678,D0012,14.3,14.4,7.5,50.9,2023-02-16 02:52:42.853869
2544696,D0012,14.1,14.1,7.4,50.9,2023-02-16 02:53:42.864515
2544715,D0012,14.5,14.5,7.4,51.0,2023-02-16 02:54:42.853577
2544733,D0012,14.1,14.2,7.4,51.0,2023-02-16 02:55:42.864223
2544751,D0012,13.3,13.3,7.4,51.4,2023-02-16 02:56:42.863453
2544769,D0012,14.1,14.2,7.3,51.4,2023-02-16 02:57:42.865623
2544787,D0012,14.2,14.3,7.1,51.2,2023-02-16 02:58:41.874849
2544805,D0012,13.3,13.5,7.1,51.3,2023-02-16 02:59:42.88203
2544824,D0012,15.2,15.4,7.3,50.7,2023-02-16 03:00:42.874989
2544842,D0012,14.0,14.2,7.4,50.6,2023-02-16 03:01:42.874336
2544860,D0012,13.4,13.4,7.5,50.8,2023-02-16 03:02:42.883446
2544879,D0012,13.7,13.7,7.4,51.1,2023-02-16 03:03:42.893783
2544898,D0012,13.4,13.5,7.5,51.2,2023-02-16 03:04:42.884204
2544917,D0012,14.9,15.1,7.5,50.7,2023-02-16 03:05:41.892311
2544936,D0012,15.3,15.5,7.5,50.5,2023-02-16 03:06:42.893597
2544954,D0012,14.9,15.0,7.5,50.5,2023-02-16 03:07:42.902063
2544972,D0012,15.1,15.3,7.5,50.4,2023-02-16 03:08:41.906046
2544990,D0012,14.7,14.8,7.5,50.9,2023-02-16 03:09:42.903483
2545009,D0012,14.9,15.1,7.5,51.2,2023-02-16 03:10:42.912057
2545027,D0012,15.1,15.3,7.4,51.1,2023-02-16 03:11:42.904244
2545047,D0012,15.1,15.3,7.3,51.4,2023-02-16 03:12:41.915759
2545067,D0012,14.1,14.2,7.3,51.6,2023-02-16 03:13:42.92337
2545086,D0012,13.2,13.2,7.3,51.3,2023-02-16 03:14:42.913566
2545105,D0012,14.1,14.1,7.3,51.1,2023-02-16 03:15:42.915409
2545124,D0012,14.7,14.8,7.2,51.3,2023-02-16 03:16:42.924293
2545143,D0012,12.8,12.9,7.4,51.2,2023-02-16 03:17:42.924827
2545162,D0012,14.0,14.2,7.5,51.1,2023-02-16 03:18:42.933809
2545180,D0012,15.3,15.5,7.4,51.0,2023-02-16 03:19:42.933575
2545199,D0012,14.9,15.0,7.4,50.9,2023-02-16 03:20:42.933658
2545218,D0012,14.3,14.5,7.4,51.1,2023-02-16 03:21:42.935318
2545237,D0012,14.5,14.6,7.4,50.8,2023-02-16 03:22:42.934363
2545256,D0012,14.7,14.8,7.5,50.8,2023-02-16 03:23:42.962432
2545276,D0012,14.2,14.3,7.4,51.2,2023-02-16 03:24:42.945773
2545296,D0012,14.2,14.3,7.4,51.1,2023-02-16 03:25:42.96206
2545315,D0012,14.7,14.8,7.4,51.0,2023-02-16 03:26:42.955744
2545334,D0012,14.6,14.7,7.4,51.0,2023-02-16 03:27:42.954205
2545354,D0012,15.0,15.2,7.4,51.5,2023-02-16 03:28:42.965245
2545373,D0012,14.5,14.6,7.3,51.1,2023-02-16 03:29:41.965804
2545393,D0012,15.5,15.7,7.3,50.5,2023-02-16 03:30:42.96475
2545412,D0012,14.3,14.4,7.3,50.7,2023-02-16 03:31:42.973928
2545432,D0012,13.7,13.9,7.4,50.7,2023-02-16 03:32:41.965322
2545451,D0012,14.2,14.4,7.5,50.9,2023-02-16 03:33:42.99249
2545470,D0012,14.2,14.4,7.6,51.0,2023-02-16 03:34:42.976461
2545490,D0012,14.7,14.9,7.4,50.9,2023-02-16 03:35:42.982419
2545510,D0012,14.4,14.4,7.5,51.4,2023-02-16 03:36:41.994211
2545530,D0012,16.0,16.0,7.4,51.6,2023-02-16 03:37:42.985962
2545550,D0012,14.7,14.8,7.5,51.2,2023-02-16 03:38:42.995283
2545569,D0012,15.5,15.6,7.5,51.1,2023-02-16 03:39:43.00379
2545588,D0012,15.6,15.7,7.4,51.2,2023-02-16 03:40:43.003491
2545607,D0012,15.4,15.6,7.4,51.4,2023-02-16 03:41:42.99607
2545626,D0012,15.4,15.5,7.4,51.9,2023-02-16 03:42:43.004174
2545645,D0012,15.0,15.1,7.4,52.2,2023-02-16 03:43:43.014993
2545664,D0012,15.7,16.0,7.4,51.5,2023-02-16 03:44:43.005348
2545683,D0012,15.8,15.9,7.3,51.0,2023-02-16 03:45:43.012917
2545702,D0012,15.7,15.8,7.2,50.8,2023-02-16 03:46:43.015928
2545721,D0012,15.3,15.5,7.2,50.8,2023-02-16 03:47:43.015263
2545740,D0012,15.1,15.2,7.3,50.5,2023-02-16 03:48:43.024097
2545760,D0012,15.5,15.6,7.4,50.5,2023-02-16 03:49:42.025976
2545780,D0012,15.3,15.4,7.5,50.7,2023-02-16 03:50:43.025365
2545800,D0012,15.7,15.8,7.4,50.9,2023-02-16 03:51:43.026699
2545819,D0012,15.6,15.7,7.3,51.7,2023-02-16 03:52:43.02471
2545839,D0012,15.5,15.7,7.3,51.0,2023-02-16 03:53:42.04505
2545858,D0012,15.6,15.7,7.2,51.9,2023-02-16 03:54:43.035837
2545877,D0012,16.2,16.3,7.2,51.5,2023-02-16 03:55:43.035573
2545896,D0012,16.5,16.7,7.2,51.4,2023-02-16 03:56:43.047555
2545915,D0012,15.6,15.8,7.2,51.3,2023-02-16 03:57:43.06227
2545934,D0012,16.3,16.6,7.2,51.2,2023-02-16 03:58:43.053605
2545954,D0012,15.4,15.7,7.2,51.4,2023-02-16 03:59:43.04625
2545973,D0012,16.1,16.2,7.2,51.5,2023-02-16 04:00:42.056337
2545992,D0012,16.4,16.7,7.1,51.4,2023-02-16 04:01:43.056468
2546011,D0012,14.7,14.9,7.1,51.1,2023-02-16 04:02:43.064065
2546030,D0012,15.2,15.4,7.1,50.8,2023-02-16 04:03:43.076712
2546050,D0012,15.8,16.1,7.3,50.8,2023-02-16 04:04:43.06636
2546069,D0012,15.2,15.4,7.4,51.4,2023-02-16 04:05:43.065699
2546089,D0012,14.9,15.1,7.3,51.3,2023-02-16 04:06:43.067107
2546108,D0012,15.1,15.3,7.3,51.8,2023-02-16 04:07:43.07677
2546127,D0012,15.5,15.6,7.3,51.8,2023-02-16 04:08:43.086472
2546146,D0012,15.8,16.0,7.4,51.6,2023-02-16 04:09:43.092924
2546165,D0012,15.8,16.0,7.4,52.0,2023-02-16 04:10:43.08623
2546185,D0012,18.2,18.4,7.4,51.0,2023-02-16 04:11:43.093699
2546204,D0012,17.2,17.4,7.4,51.9,2023-02-16 04:12:43.094897
2546223,D0012,18.2,18.4,7.4,51.7,2023-02-16 04:13:43.095177
2546243,D0012,17.7,17.9,7.3,52.1,2023-02-16 04:14:43.096582
2546263,D0012,17.4,17.7,7.2,51.8,2023-02-16 04:15:43.104893
2546282,D0012,17.7,18.0,7.1,51.5,2023-02-16 04:16:42.096374
2546301,D0012,17.3,17.5,7.0,51.7,2023-02-16 04:17:43.106776
2546320,D0012,18.0,18.3,7.0,51.4,2023-02-16 04:18:43.116491
2546340,D0012,16.7,16.9,7.1,51.1,2023-02-16 04:19:43.114742
2546359,D0012,16.8,16.9,7.3,51.5,2023-02-16 04:20:43.115904
2546378,D0012,16.5,16.6,7.3,51.5,2023-02-16 04:21:43.115561
2546398,D0012,17.2,17.4,7.3,51.4,2023-02-16 04:22:43.115941
2546417,D0012,17.3,17.5,7.4,51.5,2023-02-16 04:23:43.125733
2546436,D0012,17.5,17.7,7.3,51.7,2023-02-16 04:24:42.12623
2546456,D0012,18.1,18.5,7.3,51.7,2023-02-16 04:25:43.127606
2546475,D0012,19.2,19.7,7.2,52.0,2023-02-16 04:26:42.142218
2546493,D0012,18.7,19.1,7.2,51.8,2023-02-16 04:27:43.13648
2546512,D0012,18.5,18.7,7.1,52.3,2023-02-16 04:28:43.14491
2546531,D0012,18.9,19.2,7.2,51.9,2023-02-16 04:29:43.134484
2546551,D0012,18.9,19.1,7.2,51.6,2023-02-16 04:30:42.146577
2546570,D0012,18.6,18.8,7.1,52.3,2023-02-16 04:31:43.144761
2546589,D0012,18.0,18.2,7.1,52.3,2023-02-16 04:32:43.145356
2546609,D0012,18.6,18.9,6.9,52.5,2023-02-16 04:33:43.165452
2546628,D0012,18.6,18.8,6.8,52.5,2023-02-16 04:34:43.155779
2546647,D0012,18.5,18.8,7.0,51.9,2023-02-16 04:35:43.156118
2546666,D0012,17.1,17.3,7.2,51.5,2023-02-16 04:36:43.155447
2546685,D0012,18.7,19.0,7.3,51.5,2023-02-16 04:37:42.164615
2546704,D0012,19.1,19.3,7.2,51.8,2023-02-16 04:38:43.183139
2546724,D0012,18.4,18.8,7.2,52.1,2023-02-16 04:39:43.165059
2546743,D0012,18.6,18.8,7.1,52.2,2023-02-16 04:40:43.174249
2546762,D0012,18.8,19.1,7.0,52.1,2023-02-16 04:41:43.185559
2546781,D0012,19.0,19.2,7.1,52.2,2023-02-16 04:42:43.18369
2546800,D0012,19.5,19.9,7.1,52.2,2023-02-16 04:43:42.18528
2546820,D0012,18.0,18.2,7.1,52.4,2023-02-16 04:44:42.184807
2546839,D0012,18.6,18.8,7.1,52.4,2023-02-16 04:45:43.193574
2546859,D0012,19.5,19.7,7.1,52.2,2023-02-16 04:46:43.186523
2546879,D0012,18.8,19.2,7.1,52.3,2023-02-16 04:47:43.196751
2546899,D0012,19.1,19.6,7.1,51.8,2023-02-16 04:48:43.204851
2546918,D0012,19.0,19.2,7.0,51.7,2023-02-16 04:49:43.202695
2546938,D0012,19.1,19.3,6.9,51.7,2023-02-16 04:50:43.195114
2546957,D0012,18.5,18.7,7.0,51.6,2023-02-16 04:51:43.205218
2546977,D0012,19.7,20.1,7.1,51.5,2023-02-16 04:52:43.212641
2546997,D0012,19.2,19.6,7.1,52.2,2023-02-16 04:53:43.213932
2547017,D0012,18.4,18.6,7.1,52.2,2023-02-16 04:54:43.213093
2547037,D0012,18.1,18.3,7.1,51.8,2023-02-16 04:55:43.215043
2547057,D0012,18.0,18.3,7.2,52.1,2023-02-16 04:56:43.214754
2547077,D0012,19.4,19.8,7.2,51.8,2023-02-16 04:57:43.224528
2547097,D0012,20.0,20.3,7.2,51.6,2023-02-16 04:58:43.234893
2547117,D0012,19.8,20.1,7.1,51.8,2023-02-16 04:59:43.224779
2547137,D0012,19.9,20.2,7.1,52.3,2023-02-16 05:00:42.225023
2547157,D0012,19.4,19.8,7.0,52.5,2023-02-16 05:01:43.23468
2547177,D0012,20.6,21.0,7.0,52.0,2023-02-16 05:02:43.234936
2547197,D0012,20.2,20.6,6.9,52.5,2023-02-16 05:03:43.243822
2547217,D0012,18.6,19.1,6.8,52.5,2023-02-16 05:04:42.252951
2547237,D0012,19.6,19.9,6.8,52.4,2023-02-16 05:05:43.244678
2547257,D0012,20.5,20.9,6.8,51.7,2023-02-16 05:06:43.244046
2547277,D0012,19.2,19.5,6.9,51.9,2023-02-16 05:07:43.244305
2547297,D0012,20.2,20.6,7.1,51.7,2023-02-16 05:08:43.255236
2547317,D0012,19.7,19.9,7.1,51.8,2023-02-16 05:09:43.253552
2547337,D0012,19.7,19.9,6.9,52.3,2023-02-16 05:10:43.261141
2547357,D0012,18.4,18.7,7.0,52.7,2023-02-16 05:11:43.254944
2547377,D0012,19.7,20.2,7.0,53.0,2023-02-16 05:12:43.264447
2547397,D0012,19.6,20.0,7.1,52.3,2023-02-16 05:13:43.273314
2547417,D0012,19.9,20.3,7.0,52.6,2023-02-16 05:14:42.274253
2547437,D0012,21.2,21.6,7.0,52.3,2023-02-16 05:15:43.273849
2547457,D0012,20.9,21.1,7.0,52.4,2023-02-16 05:16:43.275416
