date,PM2.5,PM10,NO2,SO2,CO,O3
2022-09-01 1:00,19.77833333,19.92833333,0.007683333,0.02605,0.027066667,0.02485
2022-09-01 2:00,22.6,22.82,0.007166667,0.023816667,0.02175,0.024116667
2022-09-01 3:00,25.59333333,25.98,0.007,0.023433333,0.012883333,0.025966667
2022-09-01 4:00,23.825,24.22666667,0.00745,0.022983333,0.020283333,0.023
2022-09-01 5:00,24.07,24.50333333,0.007066667,0.022816667,0.0146,0.02335
2022-09-01 6:00,24.88666667,25.295,0.007,0.023016667,0.008966667,0.024183333
2022-09-01 7:00,26.13,26.61833333,0.007033333,0.02545,0.015216667,0.025366667
2022-09-01 8:00,22.27,22.61166667,0.007033333,0.021716667,0.02675,0.023833333
2022-09-01 9:00,19.36333333,19.64166667,0.007066667,0.018016667,0.032283333,0.023283333
2022-09-01 10:00,18,18.23666667,0.007,0.015466667,0.045466667,0.022516667
2022-09-01 11:00,13.42166667,13.505,0.007,0.01345,0.057833333,0.023816667
2022-09-01 12:00,9.366666667,9.371666667,0.007,0.009516667,0.093466667,0.020616667
2022-09-01 13:00,7.043333333,7.043333333,0.0072,0.007533333,0.11605,0.02085
2022-09-01 14:00,5.8,5.8,0.0072,0.00765,0.112683333,0.024466667
2022-09-01 15:00,3.521666667,3.521666667,0.007266667,0.00555,0.134233333,0.0243
2022-09-01 16:00,3.353333333,3.353333333,0.00795,0.00945,0.112683333,0.028466667
2022-09-01 17:00,3.685,3.685,0.008,0.016066667,0.069533333,0.03905
2022-09-01 18:00,4.411666667,4.411666667,0.008,0.0145,0.07385,0.043133333
2022-09-01 19:00,5.303333333,5.303333333,0.008,0.029083333,0.033566667,0.04845
2022-09-01 20:00,13.13333333,13.13833333,0.008,0.050383333,0.0539,0.05805
2022-09-01 21:00,25.68,25.68,0.008,0.04715,0.037666667,0.040966667
2022-09-01 22:00,15.135,15.135,0.008,0.0399,0.02415,0.035133333
2022-09-01 23:00,5.97,5.97,0.008,0.032133333,0.014916667,0.031133333
2022-09-02 0:00,5.115,5.115,0.007483333,0.0263,0.023166667,0.029933333
