no,device_id,pm25,pm10,temp,humi,reg_date
3544979,D0014,15.1,15.7,18.2,50.1,2023-03-25 13:00:34.217094
3544997,D0014,13.3,13.6,17.6,46.9,2023-03-25 13:01:31.458583
3545016,D0014,13.7,13.9,17.6,48.8,2023-03-25 13:02:31.456763
3545035,D0014,14.5,14.9,17.8,49.0,2023-03-25 13:03:31.459239
3545054,D0014,13.2,13.4,18.0,47.3,2023-03-25 13:04:31.468967
3545073,D0014,13.9,14.2,18.2,47.8,2023-03-25 13:05:31.468967
3545092,D0014,12.7,13.2,18.4,47.2,2023-03-25 13:06:31.469878
3545111,D0014,13.7,14.1,18.4,46.6,2023-03-25 13:07:31.477841
3545130,D0014,13.7,14.2,18.2,46.2,2023-03-25 13:08:31.481614
3545149,D0014,13.4,13.7,18.4,46.5,2023-03-25 13:09:31.486451
3545168,D0014,13.0,13.2,18.1,45.6,2023-03-25 13:10:31.482954
3545187,D0014,14.4,14.9,18.2,46.3,2023-03-25 13:11:31.490988
3545206,D0014,13.0,13.3,18.0,46.0,2023-03-25 13:12:31.496038
3545225,D0014,14.4,14.7,17.7,47.0,2023-03-25 13:13:31.494027
3545244,D0014,14.2,14.7,17.9,46.5,2023-03-25 13:14:31.496386
3545263,D0014,13.3,13.7,18.1,46.4,2023-03-25 13:15:31.496512
3545282,D0014,13.0,13.4,18.0,46.2,2023-03-25 13:16:31.500903
3545301,D0014,12.5,12.7,17.9,46.8,2023-03-25 13:17:31.504367
3545320,D0014,12.4,12.6,18.1,47.3,2023-03-25 13:18:31.511574
3545339,D0014,13.1,13.5,18.1,46.8,2023-03-25 13:19:31.514327
3545358,D0014,14.2,14.9,18.1,46.1,2023-03-25 13:20:31.515806
3545377,D0014,14.0,14.7,18.3,45.9,2023-03-25 13:21:31.512533
3545396,D0014,13.7,14.4,17.9,45.9,2023-03-25 13:22:31.519806
3545415,D0014,14.2,14.7,17.5,47.2,2023-03-25 13:23:31.525529
3545434,D0014,13.5,14.0,17.5,47.1,2023-03-25 13:24:31.53042
3545453,D0014,13.9,14.5,17.6,47.0,2023-03-25 13:25:31.526863
3545471,D0014,13.5,14.1,17.7,47.6,2023-03-25 13:26:31.534166
3545490,D0014,15.2,15.9,17.7,47.0,2023-03-25 13:27:31.530875
3545509,D0014,14.9,15.6,17.8,47.4,2023-03-25 13:28:31.539458
3545528,D0014,13.3,13.9,17.9,47.3,2023-03-25 13:29:31.54014
3545547,D0014,12.5,12.9,17.5,47.7,2023-03-25 13:30:31.541412
3545566,D0014,12.3,12.6,17.6,47.9,2023-03-25 13:31:31.547838
3545585,D0014,12.7,13.0,17.1,47.8,2023-03-25 13:32:31.554012
3545604,D0014,13.1,13.4,17.1,48.5,2023-03-25 13:33:31.549791
3545623,D0014,13.3,13.7,17.3,48.7,2023-03-25 13:34:31.551269
3545642,D0014,13.6,14.1,17.5,47.8,2023-03-25 13:35:31.557823
3545661,D0014,13.2,13.5,17.5,47.9,2023-03-25 13:36:31.56007
3545680,D0014,13.7,13.9,17.6,48.8,2023-03-25 13:37:31.56618
3545699,D0014,13.4,13.6,17.8,48.6,2023-03-25 13:38:31.564537
3545718,D0014,13.0,13.2,17.6,47.7,2023-03-25 13:39:31.565239
3545737,D0014,12.2,12.3,16.8,48.8,2023-03-25 13:40:31.570166
3545755,D0014,13.5,13.8,16.8,49.4,2023-03-25 13:41:30.576448
3545775,D0014,13.5,13.8,17.0,48.7,2023-03-25 13:42:31.577926
3545794,D0014,13.4,13.9,16.6,49.5,2023-03-25 13:43:31.582815
3545813,D0014,13.9,14.6,16.7,50.3,2023-03-25 13:44:31.584878
3545832,D0014,12.6,13.1,16.8,49.7,2023-03-25 13:45:31.5846
3545851,D0014,13.4,13.7,16.8,49.9,2023-03-25 13:46:31.596055
3545870,D0014,14.0,14.3,16.4,50.8,2023-03-25 13:47:31.594964
3545889,D0014,14.0,14.4,16.3,50.9,2023-03-25 13:48:31.600227
3545907,D0014,13.1,13.5,16.2,50.9,2023-03-25 13:49:30.601796
3545927,D0014,13.6,14.0,16.3,51.3,2023-03-25 13:50:31.604071
3545946,D0014,14.9,15.3,16.5,50.4,2023-03-25 13:51:31.608214
3545965,D0014,14.3,14.7,16.5,50.6,2023-03-25 13:52:31.608051
3545984,D0014,13.8,14.1,16.5,50.5,2023-03-25 13:53:31.60879
3546003,D0014,13.9,14.1,16.4,50.7,2023-03-25 13:54:31.61165
3546022,D0014,14.7,15.1,16.6,51.5,2023-03-25 13:55:31.616853
3546041,D0014,14.1,14.4,17.0,50.1,2023-03-25 13:56:31.617577
3546060,D0014,13.4,13.8,17.0,49.0,2023-03-25 13:57:31.617809
