일시,기온,풍향(16방위),풍속(m/s),상대습도(%)
2023-04-01 0:05,11.4,296.9,0.2,54
2023-04-01 0:10,11.3,258.7,0.1,55.6
2023-04-01 0:15,11.3,315.9,0.5,55.9
2023-04-01 0:20,11.3,324.2,0.4,55.2
2023-04-01 0:25,11.2,350.5,0.7,55.6
2023-04-01 0:30,11,331.1,1.2,56.2
2023-04-01 0:35,10.8,310.2,0.7,56
2023-04-01 0:40,10.8,309.4,0.6,56.1
2023-04-01 0:45,10.7,307.4,0.2,56.6
2023-04-01 0:50,10.7,276.1,0.1,57.4
2023-04-01 0:55,10.5,174.5,0.7,58.5
2023-04-01 1:00,10.3,161.1,0.1,59.4
2023-04-01 1:05,10,157.7,0,59.9
2023-04-01 1:10,9.8,314.3,0.1,60.7
2023-04-01 1:15,9.8,170,0.2,61.2
2023-04-01 1:20,9.9,192.3,0.2,61
2023-04-01 1:25,9.9,24.4,0.1,60.4
2023-04-01 1:30,9.8,172.7,0.7,61.2
2023-04-01 1:35,9.8,115,0.1,61.4
2023-04-01 1:40,9.7,158,0.3,62.2
2023-04-01 1:45,9.6,146.8,0.1,62.4
2023-04-01 1:50,9.5,302.8,0.4,62.7
2023-04-01 1:55,9.7,327.5,0.6,62
2023-04-01 2:00,9.7,314.5,0.3,62
2023-04-01 2:05,9.6,306.3,0.5,62.3
2023-04-01 2:10,9.5,311.1,0.8,62.5
2023-04-01 2:15,9.4,298.5,0.8,62.3
2023-04-01 2:20,9.2,307,0.6,62.3
2023-04-01 2:25,9.2,321.7,0.6,62.6
2023-04-01 2:30,9.1,327.4,0.8,62.5
2023-04-01 2:35,9.1,332.3,0.9,62.9
2023-04-01 2:40,9,319.3,0.8,63
2023-04-01 2:45,9,316.4,0.5,63
2023-04-01 2:50,8.9,313.1,0.8,63
2023-04-01 2:55,8.9,310.9,0.4,63.2
2023-04-01 3:00,8.8,169.3,0.7,64.5
2023-04-01 3:05,8.7,175.9,0.7,65.5
2023-04-01 3:10,8.5,224.4,0.2,66
2023-04-01 3:15,8.5,275.5,0.2,65.9
2023-04-01 3:20,8.5,292.1,0.1,65.9
2023-04-01 3:25,8.4,339.4,0.6,66
2023-04-01 3:30,8.4,310.3,0.7,65.9
2023-04-01 3:35,8.4,318.1,0.6,65.8
2023-04-01 3:40,8.4,271.9,0.1,65.9
2023-04-01 3:45,8.2,304.4,0.1,66.7
2023-04-01 3:50,8.1,318.4,0.6,66.7
2023-04-01 3:55,8.2,308.8,0.5,66.3
2023-04-01 4:00,8.2,341.7,0.2,66.7
2023-04-01 4:05,8.1,336.2,0.6,67.2
2023-04-01 4:10,8,327.8,0.7,67.7
2023-04-01 4:15,8,327.1,1,67.2
2023-04-01 4:20,7.8,304.7,1,67.5
2023-04-01 4:25,7.8,303.7,0.6,68.1
2023-04-01 4:30,7.7,304.3,0.9,68.8
2023-04-01 4:35,7.4,312.4,1.3,69.7
2023-04-01 4:40,7.4,322.2,1.1,69.7
2023-04-01 4:45,7.5,330.7,1,68.9
2023-04-01 4:50,7.6,333.1,0.4,68.6
2023-04-01 4:55,7.4,15,0.1,69.6
2023-04-01 5:00,7.3,149.8,0.3,70.8
2023-04-01 5:05,7.2,323.3,0.1,71.5
2023-04-01 5:10,7.1,22.8,0.1,71.3
2023-04-01 5:15,7,340.9,0.5,71
2023-04-01 5:20,7,356.1,0.5,71.1
2023-04-01 5:25,7,305.5,0.3,71
2023-04-01 5:30,7,162.5,0.2,71.6
2023-04-01 5:35,6.8,304,0,72.7
2023-04-01 5:40,6.8,292.9,0.1,73.2
2023-04-01 5:45,6.8,297,0.2,73.3
2023-04-01 5:50,6.9,314.9,0.3,72.7
2023-04-01 5:55,6.9,321.3,0.8,71.3
2023-04-01 6:00,6.7,323.3,0.9,71.9
2023-04-01 6:05,6.6,322.4,1.1,72.3
2023-04-01 6:10,6.6,324.2,0.7,72.7
2023-04-01 6:15,6.5,305.2,0.8,73.2
2023-04-01 6:20,6.5,320.3,1.2,73.4
2023-04-01 6:25,6.5,318.9,1.1,73.2
2023-04-01 6:30,6.6,328.2,0.8,72.5
2023-04-01 6:35,6.6,322.1,0.5,72.4
2023-04-01 6:40,6.6,306.5,0.6,72.3
2023-04-01 6:45,6.7,257.7,0.1,72.2
2023-04-01 6:50,6.7,171.4,0.3,72.6
2023-04-01 6:55,6.7,161.7,0.3,72.9
2023-04-01 7:00,6.8,153.1,0.2,72.5
2023-04-01 7:05,7,160.5,0.4,71.7
2023-04-01 7:10,6.9,165.7,0.4,71.8
2023-04-01 7:15,7.2,8,0.1,71
2023-04-01 7:20,7.6,356.9,0.6,68.4
2023-04-01 7:25,7.6,334.1,0.7,68.2
2023-04-01 7:30,7.8,317.6,0.8,67.6
2023-04-01 7:35,7.9,311.3,0.9,66.9
2023-04-01 7:40,8.1,312.7,0.5,66.2
2023-04-01 7:45,8.6,268.1,0,64.9
2023-04-01 7:50,9.2,165.1,0.6,62.9
2023-04-01 7:55,9.2,151,0.6,63.1
2023-04-01 8:00,9.8,135.7,0.2,60.9
