date,pm10,pm25
2023-03-01 01,13,7
2023-03-01 02,5,
2023-03-01 03,9,8
2023-03-01 04,15,12
2023-03-01 05,17,8
2023-03-01 06,17,12
2023-03-01 07,19,14
2023-03-01 08,20,15
2023-03-01 09,23,16
2023-03-01 10,30,13
2023-03-01 11,36,18
2023-03-01 12,34,16
2023-03-01 13,30,12
2023-03-01 14,24,13
2023-03-01 15,25,18
2023-03-01 16,22,10
2023-03-01 17,22,15
2023-03-01 18,,
2023-03-01 19,59,52
2023-03-01 20,73,41
2023-03-01 21,62,28
2023-03-01 22,47,28
2023-03-01 23,36,18
2023-03-02 00,31,13
2023-03-02 01,27,11
2023-03-02 02,29,8
2023-03-02 03,28,11
2023-03-02 04,28,12
2023-03-02 05,30,11
2023-03-02 06,30,9
2023-03-02 07,30,12
2023-03-02 08,28,10
2023-03-02 09,26,7
2023-03-02 10,27,4
2023-03-02 11,28,4
2023-03-02 12,29,4
2023-03-02 13,31,5
2023-03-02 14,34,6
2023-03-02 15,35,5
2023-03-02 16,35,7
2023-03-02 17,33,7
2023-03-02 18,35,8
2023-03-02 19,37,9
2023-03-02 20,37,9
2023-03-02 21,34,13
2023-03-02 22,35,13
2023-03-02 23,40,12
2023-03-03 00,39,11
2023-03-03 01,38,14
2023-03-03 02,37,9
2023-03-03 03,37,15
2023-03-03 04,34,9
2023-03-03 05,32,11
2023-03-03 06,32,9
2023-03-03 07,34,11
2023-03-03 08,37,14
2023-03-03 09,40,19
2023-03-03 10,44,10
2023-03-03 11,41,12
2023-03-03 12,33,10
2023-03-03 13,30,8
2023-03-03 14,34,15
2023-03-03 15,39,12
2023-03-03 16,37,18
2023-03-03 17,39,21
2023-03-03 18,43,22
2023-03-03 19,42,16
2023-03-03 20,37,14
2023-03-03 21,32,13
2023-03-03 22,32,17
2023-03-03 23,37,21
2023-03-04 00,40,19
2023-03-04 01,42,27
2023-03-04 02,43,19
2023-03-04 03,41,22
2023-03-04 04,39,21
2023-03-04 05,37,19
2023-03-04 06,37,19
2023-03-04 07,41,22
2023-03-04 08,46,22
2023-03-04 09,51,27
2023-03-04 10,59,31
2023-03-04 11,65,33
2023-03-04 12,66,33
2023-03-04 13,68,43
2023-03-04 14,78,41
2023-03-04 15,93,37
2023-03-04 16,100,42
2023-03-04 17,97,43
2023-03-04 18,88,41
2023-03-04 19,84,46
2023-03-04 20,87,54
2023-03-04 21,93,57
2023-03-04 22,98,56
2023-03-04 23,102,60
2023-03-05 00,104,54
2023-03-05 01,102,52
2023-03-05 02,98,49
2023-03-05 03,96,50
2023-03-05 04,88,48
2023-03-05 05,84,50
2023-03-05 06,84,51
2023-03-05 07,85,48
2023-03-05 08,85,48
2023-03-05 09,90,54
2023-03-05 10,88,51
2023-03-05 11,89,41
2023-03-05 12,83,30
2023-03-05 13,75,33
2023-03-05 14,72,35
2023-03-05 15,68,28
2023-03-05 16,63,29
2023-03-05 17,56,32
2023-03-05 18,57,29
2023-03-05 19,55,25
2023-03-05 20,51,22
2023-03-05 21,47,21
2023-03-05 22,44,23
2023-03-05 23,45,22
2023-03-06 00,46,22
2023-03-06 01,45,20
2023-03-06 02,45,22
2023-03-06 03,40,19
2023-03-06 04,40,21
2023-03-06 05,37,20
2023-03-06 06,40,25
2023-03-06 07,41,25
2023-03-06 08,44,29
2023-03-06 09,49,33
2023-03-06 10,,
2023-03-06 11,,
2023-03-06 12,66,41
2023-03-06 13,65,28
2023-03-06 14,59,30
2023-03-06 15,61,32
2023-03-06 16,64,29
2023-03-06 17,70,29
2023-03-06 18,65,24
2023-03-06 19,60,27
2023-03-06 20,57,25
2023-03-06 21,52,24
2023-03-06 22,53,28
2023-03-06 23,54,30
2023-03-07 00,56,27
2023-03-07 01,58,36
2023-03-07 02,59,26
2023-03-07 03,55,24
2023-03-07 04,53,25
2023-03-07 05,52,25
2023-03-07 06,50,29
2023-03-07 07,49,32
2023-03-07 08,53,28
2023-03-07 09,58,36
2023-03-07 10,58,32
2023-03-07 11,63,33
2023-03-07 12,61,21
2023-03-07 13,56,16
2023-03-07 14,55,28
2023-03-07 15,60,27
2023-03-07 16,69,27
2023-03-07 17,71,22
2023-03-07 18,67,24
2023-03-07 19,62,18
2023-03-07 20,57,20
2023-03-07 21,57,22
2023-03-07 22,55,18
2023-03-07 23,55,22
2023-03-08 00,54,24
2023-03-08 01,54,29
2023-03-08 02,60,25
2023-03-08 03,60,26
2023-03-08 04,61,25
2023-03-08 05,55,24
2023-03-08 06,50,22
2023-03-08 07,51,25
2023-03-08 08,52,31
2023-03-08 09,56,28
2023-03-08 10,62,38
2023-03-08 11,68,27
2023-03-08 12,66,31
2023-03-08 13,66,33
2023-03-08 14,68,27
2023-03-08 15,70,20
2023-03-08 16,69,24
2023-03-08 17,69,22
2023-03-08 18,67,21
2023-03-08 19,56,22
2023-03-08 20,54,21
2023-03-08 21,50,16
2023-03-08 22,43,19
2023-03-08 23,39,11
2023-03-09 00,33,14
2023-03-09 01,31,14
2023-03-09 02,35,18
2023-03-09 03,38,17
2023-03-09 04,37,16
2023-03-09 05,36,20
2023-03-09 06,38,24
2023-03-09 07,41,27
2023-03-09 08,49,25
2023-03-09 09,51,26
2023-03-09 10,54,28
2023-03-09 11,45,11
2023-03-09 12,32,21
2023-03-09 13,32,26
2023-03-09 14,39,30
2023-03-09 15,44,35
2023-03-09 16,51,32
2023-03-09 17,57,31
2023-03-09 18,62,32
2023-03-09 19,65,39
2023-03-09 20,70,38
2023-03-09 21,72,35
2023-03-09 22,71,36
2023-03-09 23,73,36
2023-03-10 00,73,43
2023-03-10 01,71,37
2023-03-10 02,67,37
2023-03-10 03,63,35
2023-03-10 04,62,34
2023-03-10 05,58,29
2023-03-10 06,55,31
2023-03-10 07,52,35
2023-03-10 08,52,32
2023-03-10 09,55,27
2023-03-10 10,57,29
2023-03-10 11,55,35
2023-03-10 12,53,22
2023-03-10 13,53,23
2023-03-10 14,77,22
2023-03-10 15,110,14
2023-03-10 16,131,20
2023-03-10 17,133,27
2023-03-10 18,128,23
2023-03-10 19,119,31
2023-03-10 20,106,26
2023-03-10 21,95,32
2023-03-10 22,88,32
2023-03-10 23,89,38
2023-03-11 00,85,39
2023-03-11 01,83,33
2023-03-11 02,82,33
2023-03-11 03,77,36
2023-03-11 04,77,34
2023-03-11 05,76,37
2023-03-11 06,74,34
2023-03-11 07,71,37
2023-03-11 08,72,39
2023-03-11 09,71,42
2023-03-11 10,65,39
2023-03-11 11,64,38
2023-03-11 12,68,42
2023-03-11 13,78,46
2023-03-11 14,93,35
2023-03-11 15,95,31
2023-03-11 16,94,30
2023-03-11 17,92,26
2023-03-11 18,93,36
2023-03-11 19,96,44
2023-03-11 20,99,37
2023-03-11 21,101,39
2023-03-11 22,110,47
2023-03-11 23,107,46
2023-03-12 00,102,47
2023-03-12 01,100,55
2023-03-12 02,103,56
2023-03-12 03,97,49
2023-03-12 04,87,44
2023-03-12 05,75,43
2023-03-12 06,66,45
2023-03-12 07,63,42
2023-03-12 08,66,46
2023-03-12 09,75,56
2023-03-12 10,73,51
2023-03-12 11,61,23
2023-03-12 12,43,28
2023-03-12 13,31,17
2023-03-12 14,23,6
2023-03-12 15,5,4
2023-03-12 16,,9
2023-03-12 17,11,
2023-03-12 18,23,13
2023-03-12 19,29,16
2023-03-12 20,41,18
2023-03-12 21,51,14
2023-03-12 22,44,12
2023-03-12 23,36,10
2023-03-13 00,28,8
2023-03-13 01,24,8
2023-03-13 02,19,7
2023-03-13 03,19,9
2023-03-13 04,20,11
2023-03-13 05,18,9
2023-03-13 06,18,8
2023-03-13 07,22,7
2023-03-13 08,25,7
2023-03-13 09,25,7
2023-03-13 10,24,5
2023-03-13 11,24,3
2023-03-13 12,23,2
2023-03-13 13,22,2
2023-03-13 14,23,2
2023-03-13 15,25,1
2023-03-13 16,31,
2023-03-13 17,,6
2023-03-13 18,37,9
2023-03-13 19,39,10
2023-03-13 20,39,9
2023-03-13 21,42,11
2023-03-13 22,45,11
2023-03-13 23,42,13
2023-03-14 00,39,12
2023-03-14 01,38,22
2023-03-14 02,40,11
2023-03-14 03,37,13
2023-03-14 04,34,11
2023-03-14 05,33,8
2023-03-14 06,35,11
2023-03-14 07,37,11
2023-03-14 08,44,14
2023-03-14 09,46,18
2023-03-14 10,48,15
2023-03-14 11,51,18
2023-03-14 12,59,16
2023-03-14 13,65,18
2023-03-14 14,66,17
2023-03-14 15,57,12
2023-03-14 16,53,9
2023-03-14 17,51,7
2023-03-14 18,53,14
2023-03-14 19,56,12
2023-03-14 20,55,9
2023-03-14 21,57,13
2023-03-14 22,59,11
2023-03-14 23,56,12
2023-03-15 00,54,14
2023-03-15 01,50,12
2023-03-15 02,40,12
2023-03-15 03,38,10
2023-03-15 04,40,12
2023-03-15 05,41,17
2023-03-15 06,45,17
2023-03-15 07,46,14
2023-03-15 08,45,14
2023-03-15 09,49,19
2023-03-15 10,57,19
2023-03-15 11,59,16
2023-03-15 12,45,11
2023-03-15 13,35,16
2023-03-15 14,29,8
2023-03-15 15,23,6
2023-03-15 16,20,8
2023-03-15 17,23,8
2023-03-15 18,25,7
2023-03-15 19,24,10
2023-03-15 20,18,7
2023-03-15 21,16,9
2023-03-15 22,17,7
2023-03-15 23,19,7
