date,pm10,pm25
2023-01-11 23,,28
2023-01-12 00,,22
2023-01-12 01,,32
2023-01-12 02,,29
2023-01-12 03,,26
2023-01-12 04,,22
2023-01-12 05,,20
2023-01-12 06,,21
2023-01-12 07,,21
2023-01-12 08,,21
2023-01-12 09,,24
2023-01-12 10,,25
2023-01-12 11,,26
2023-01-12 12,,30
2023-01-12 13,,23
2023-01-12 14,,17
2023-01-12 15,,11
2023-01-12 16,,10
2023-01-12 17,,12
2023-01-12 18,,11
2023-01-12 19,,22
2023-01-12 20,,28
2023-01-12 21,,23
2023-01-12 22,,19
2023-01-12 23,,22
2023-01-13 00,,22
2023-01-13 01,,27
2023-01-13 02,,23
2023-01-13 03,,22
2023-01-13 04,,16
2023-01-13 05,,18
2023-01-13 06,,19
2023-01-13 07,,19
2023-01-13 08,,13
2023-01-13 09,,12
2023-01-13 10,,6
2023-01-13 11,,9
2023-01-13 12,19,9
2023-01-13 13,34,14
2023-01-13 14,32,12
2023-01-13 15,22,12
2023-01-13 16,18,14
2023-01-13 17,18,13
2023-01-13 18,20,12
2023-01-13 19,23,15
2023-01-13 20,27,14
2023-01-13 21,28,14
2023-01-13 22,27,17
2023-01-13 23,27,17
2023-01-14 00,30,18
2023-01-14 01,29,20
2023-01-14 02,26,15
2023-01-14 03,33,14
2023-01-14 04,36,13
2023-01-14 05,32,14
2023-01-14 06,28,12
2023-01-14 07,26,12
2023-01-14 08,27,12
2023-01-14 09,31,10
2023-01-14 10,30,16
2023-01-14 11,28,14
2023-01-14 12,28,12
2023-01-14 13,21,10
2023-01-14 14,14,7
2023-01-14 15,10,5
2023-01-14 16,6,6
2023-01-14 17,6,6
2023-01-14 18,7,6
2023-01-14 19,5,
2023-01-14 20,7,6
2023-01-14 21,7,6
2023-01-14 22,7,7
2023-01-14 23,7,6
2023-01-15 00,6,
2023-01-15 01,9,8
2023-01-15 02,17,8
2023-01-15 03,16,8
2023-01-15 04,13,7
2023-01-15 05,14,7
2023-01-15 06,14,7
2023-01-15 07,15,9
2023-01-15 08,15,12
2023-01-15 09,13,13
2023-01-15 10,8,8
2023-01-15 11,7,6
2023-01-15 12,4,
2023-01-15 13,5,
2023-01-15 14,9,
2023-01-15 15,10,
2023-01-15 16,17,12
2023-01-15 17,19,11
2023-01-15 18,21,11
2023-01-15 19,21,14
2023-01-15 20,20,10
2023-01-15 21,18,13
2023-01-15 22,18,15
2023-01-15 23,19,11
