date,pm10,pm25
2023-04-01 01,61,35
2023-04-01 02,66,36
2023-04-01 03,63,27
2023-04-01 04,59,27
2023-04-01 05,57,25
2023-04-01 06,54,25
2023-04-01 07,53,27
2023-04-01 08,56,31
2023-04-01 09,62,32
2023-04-01 10,67,29
2023-04-01 11,66,31
2023-04-01 12,66,31
2023-04-01 13,58,23
2023-04-01 14,46,16
2023-04-01 15,37,19
2023-04-01 16,46,26
2023-04-01 17,49,30
2023-04-01 18,55,28
2023-04-01 19,60,27
2023-04-01 20,58,29
2023-04-01 21,56,30
2023-04-01 22,61,30
2023-04-01 23,65,31
2023-04-02 00,62,23
2023-04-02 01,59,31
2023-04-02 02,57,27
2023-04-02 03,55,25
2023-04-02 04,56,27
2023-04-02 05,55,26
2023-04-02 06,47,24
2023-04-02 07,43,30
2023-04-02 08,42,27
2023-04-02 09,40,26
2023-04-02 10,,
2023-04-02 11,32,17
2023-04-02 12,26,9
2023-04-02 13,23,13
2023-04-02 14,21,11
2023-04-02 15,20,15
2023-04-02 16,24,18
2023-04-02 17,27,18
2023-04-02 18,30,19
2023-04-02 19,34,19
2023-04-02 20,32,19
2023-04-02 21,32,21
2023-04-02 22,35,23
2023-04-02 23,36,29
2023-04-03 00,42,31
2023-04-03 01,48,27
2023-04-03 02,44,29
2023-04-03 03,44,25
2023-04-03 04,46,22
2023-04-03 05,45,25
2023-04-03 06,42,25
2023-04-03 07,41,30
2023-04-03 08,46,26
2023-04-03 09,42,24
2023-04-03 10,38,20
2023-04-03 11,36,19
2023-04-03 12,35,17
2023-04-03 13,33,15
2023-04-03 14,32,14
2023-04-03 15,31,10
2023-04-03 16,31,8
2023-04-03 17,29,12
2023-04-03 18,29,12
2023-04-03 19,29,13
2023-04-03 20,30,12
2023-04-03 21,29,14
2023-04-03 22,31,10
2023-04-03 23,31,8
2023-04-04 00,29,11
2023-04-04 01,28,12
2023-04-04 02,27,12
2023-04-04 03,27,12
2023-04-04 04,27,14
2023-04-04 05,27,13
2023-04-04 06,25,12
2023-04-04 07,25,11
2023-04-04 08,24,11
2023-04-04 09,21,14
2023-04-04 10,21,13
2023-04-04 11,21,11
2023-04-04 12,20,11
2023-04-04 13,24,16
2023-04-04 14,27,18
2023-04-04 15,29,15
2023-04-04 16,31,19
2023-04-04 17,30,15
2023-04-04 18,31,14
2023-04-04 19,31,17
2023-04-04 20,35,15
2023-04-04 21,37,17
2023-04-04 22,38,20
2023-04-04 23,33,19
2023-04-05 00,31,19
2023-04-05 01,31,17
2023-04-05 02,29,16
2023-04-05 03,26,13
2023-04-05 04,22,10
2023-04-05 05,22,10
2023-04-05 06,26,14
2023-04-05 07,24,10
2023-04-05 08,18,7
2023-04-05 09,9,7
2023-04-05 10,4,
2023-04-05 11,,
2023-04-05 12,,13
2023-04-05 13,3,
2023-04-05 14,2,4
2023-04-05 15,3,
2023-04-05 16,2,5
2023-04-05 17,2,2
2023-04-05 18,2,
2023-04-05 19,4,8
2023-04-05 20,10,
2023-04-05 21,17,13
2023-04-05 22,18,14
2023-04-05 23,21,17
2023-04-06 00,22,17
2023-04-06 01,19,
2023-04-06 02,24,18
2023-04-06 03,23,17
2023-04-06 04,23,19
2023-04-06 05,21,14
2023-04-06 06,19,13
2023-04-06 07,17,14
2023-04-06 08,18,13
2023-04-06 09,14,10
2023-04-06 10,12,9
2023-04-06 11,11,8
2023-04-06 12,10,9
2023-04-06 13,10,10
2023-04-06 14,13,
2023-04-06 15,22,16
2023-04-06 16,22,17
2023-04-06 17,22,18
2023-04-06 18,24,21
2023-04-06 19,25,19
2023-04-06 20,24,24
2023-04-06 21,25,21
2023-04-06 22,26,25
2023-04-06 23,26,19
2023-04-07 00,22,16
2023-04-07 01,19,
2023-04-07 02,10,
2023-04-07 03,10,14
2023-04-07 04,23,
2023-04-07 05,30,29
2023-04-07 06,34,
2023-04-07 07,40,28
2023-04-07 08,43,37
2023-04-07 09,52,39
2023-04-07 10,55,26
2023-04-07 11,56,25
2023-04-07 12,56,24
2023-04-07 13,55,18
2023-04-07 14,49,15
2023-04-07 15,35,10
2023-04-07 16,30,14
2023-04-07 17,27,11
2023-04-07 18,25,19
2023-04-07 19,25,22
2023-04-07 20,27,17
2023-04-07 21,29,22
2023-04-07 22,37,18
2023-04-07 23,42,6
2023-04-08 00,36,5
2023-04-08 01,26,5
2023-04-08 02,17,5
2023-04-08 03,12,6
2023-04-08 04,9,6
2023-04-08 05,12,6
2023-04-08 06,14,6
2023-04-08 07,15,6
2023-04-08 08,19,7
2023-04-08 09,20,5
2023-04-08 10,23,3
2023-04-08 11,24,4
2023-04-08 12,21,6
2023-04-08 13,26,7
2023-04-08 14,28,8
2023-04-08 15,29,6
2023-04-08 16,31,4
2023-04-08 17,31,5
2023-04-08 18,31,8
2023-04-08 19,36,7
2023-04-08 20,39,5
2023-04-08 21,47,3
2023-04-08 22,52,6
2023-04-08 23,57,9
2023-04-09 00,58,6
2023-04-09 01,56,9
2023-04-09 02,57,7
2023-04-09 03,55,7
2023-04-09 04,54,9
2023-04-09 05,51,8
2023-04-09 06,48,6
2023-04-09 07,45,7
2023-04-09 08,44,5
2023-04-09 09,49,8
2023-04-09 10,54,8
2023-04-09 11,56,6
2023-04-09 12,52,6
2023-04-09 13,48,5
2023-04-09 14,43,8
2023-04-09 15,47,11
2023-04-09 16,50,9
2023-04-09 17,53,11
2023-04-09 18,51,10
2023-04-09 19,54,10
2023-04-09 20,57,7
2023-04-09 21,63,10
2023-04-09 22,68,12
2023-04-09 23,65,14
2023-04-10 00,60,13
2023-04-10 01,58,22
2023-04-10 02,56,14
2023-04-10 03,51,11
2023-04-10 04,48,13
2023-04-10 05,44,9
2023-04-10 06,42,11
2023-04-10 07,44,10
2023-04-10 08,51,14
2023-04-10 09,58,17
2023-04-10 10,67,7
2023-04-10 11,60,6
2023-04-10 12,52,12
2023-04-10 13,,
2023-04-10 14,,6
2023-04-10 15,43,8
2023-04-10 16,42,6
2023-04-10 17,37,7
2023-04-10 18,42,5
2023-04-10 19,40,6
2023-04-10 20,32,11
2023-04-10 21,29,8
2023-04-10 22,28,6
2023-04-10 23,27,10
2023-04-11 00,27,15
2023-04-11 01,27,13
2023-04-11 02,28,10
2023-04-11 03,29,9
2023-04-11 04,27,7
2023-04-11 05,27,10
2023-04-11 06,28,12
2023-04-11 07,29,16
2023-04-11 08,31,15
2023-04-11 09,35,7
2023-04-11 10,33,8
2023-04-11 11,27,7
2023-04-11 12,24,5
2023-04-11 13,25,8
2023-04-11 14,26,7
2023-04-11 15,26,8
2023-04-11 16,26,12
2023-04-11 17,27,11
2023-04-11 18,27,14
2023-04-11 19,29,16
2023-04-11 20,31,12
2023-04-11 21,29,17
2023-04-11 22,26,14
2023-04-11 23,24,13
