date,pm10,pm25
2023-01-16 01,15,10
2023-01-16 02,14,8
2023-01-16 03,16,10
2023-01-16 04,13,7
2023-01-16 05,13,10
2023-01-16 06,14,11
2023-01-16 07,16,13
2023-01-16 08,18,14
2023-01-16 09,21,14
2023-01-16 10,23,14
2023-01-16 11,20,14
2023-01-16 12,16,12
2023-01-16 13,15,11
2023-01-16 14,16,10
2023-01-16 15,,
2023-01-16 16,23,7
2023-01-16 17,13,5
2023-01-16 18,13,12
2023-01-16 19,21,15
2023-01-16 20,20,14
2023-01-16 21,20,14
2023-01-16 22,21,14
2023-01-16 23,19,12
2023-01-17 00,20,14
2023-01-17 01,16,
2023-01-17 02,17,16
2023-01-17 03,22,16
2023-01-17 04,27,15
2023-01-17 05,25,16
2023-01-17 06,29,17
2023-01-17 07,29,14
2023-01-17 08,30,14
2023-01-17 09,29,18
2023-01-17 10,27,22
2023-01-17 11,22,15
2023-01-17 12,18,11
2023-01-17 13,16,11
2023-01-17 14,19,9
2023-01-17 15,21,8
2023-01-17 16,21,12
2023-01-17 17,22,9
2023-01-17 18,17,8
2023-01-17 19,16,12
2023-01-17 20,18,15
2023-01-17 21,21,14
2023-01-17 22,21,14
2023-01-17 23,23,15
2023-01-18 00,24,16
2023-01-18 01,27,23
2023-01-18 02,27,19
2023-01-18 03,29,19
2023-01-18 04,28,16
2023-01-18 05,31,17
2023-01-18 06,31,23
2023-01-18 07,32,18
2023-01-18 08,33,22
2023-01-18 09,39,22
2023-01-18 10,49,23
2023-01-18 11,56,25
2023-01-18 12,57,28
2023-01-18 13,58,27
2023-01-18 14,60,26
2023-01-18 15,60,24
2023-01-18 16,60,25
2023-01-18 17,56,22
2023-01-18 18,60,29
2023-01-18 19,65,28
2023-01-18 20,72,31
2023-01-18 21,72,31
2023-01-18 22,73,33
2023-01-18 23,73,29
2023-01-19 00,75,31
2023-01-19 01,78,27
2023-01-19 02,84,31
2023-01-19 03,83,31
2023-01-19 04,76,31
2023-01-19 05,70,30
2023-01-19 06,66,30
2023-01-19 07,66,28
2023-01-19 08,75,36
2023-01-19 09,85,32
2023-01-19 10,84,44
2023-01-19 11,83,43
2023-01-19 12,81,25
2023-01-19 13,70,20
2023-01-19 14,62,18
2023-01-19 15,59,15
2023-01-19 16,55,15
2023-01-19 17,57,25
2023-01-19 18,62,22
2023-01-19 19,63,22
2023-01-19 20,64,26
2023-01-19 21,72,30
2023-01-19 22,73,29
2023-01-19 23,68,24
2023-01-20 00,65,26
2023-01-20 01,63,34
2023-01-20 02,62,27
2023-01-20 03,62,21
2023-01-20 04,58,22
2023-01-20 05,53,28
2023-01-20 06,58,34
2023-01-20 07,70,27
2023-01-20 08,77,30
2023-01-20 09,80,32
2023-01-20 10,86,32
2023-01-20 11,101,32
2023-01-20 12,121,26
2023-01-20 13,130,19
2023-01-20 14,117,10
2023-01-20 15,88,12
2023-01-20 16,68,11
2023-01-20 17,54,10
2023-01-20 18,42,15
2023-01-20 19,34,15
2023-01-20 20,31,16
2023-01-20 21,27,12
2023-01-20 22,30,10
2023-01-20 23,34,9
2023-01-21 00,33,11
2023-01-21 01,25,12
2023-01-21 02,18,10
2023-01-21 03,22,10
2023-01-21 04,26,10
2023-01-21 05,29,15
2023-01-21 06,30,9
2023-01-21 07,26,13
2023-01-21 08,25,12
2023-01-21 09,26,13
2023-01-21 10,26,12
2023-01-21 11,23,9
2023-01-21 12,18,8
2023-01-21 13,16,7
2023-01-21 14,15,6
2023-01-21 15,16,9
2023-01-21 16,21,6
2023-01-21 17,22,4
2023-01-21 18,20,7
2023-01-21 19,17,9
2023-01-21 20,21,10
2023-01-21 21,23,14
2023-01-21 22,30,16
2023-01-21 23,35,14
2023-01-22 00,33,11
2023-01-22 01,29,23
2023-01-22 02,32,18
2023-01-22 03,34,16
2023-01-22 04,31,16
2023-01-22 05,29,12
2023-01-22 06,31,14
2023-01-22 07,27,13
2023-01-22 08,24,12
2023-01-22 09,21,12
2023-01-22 10,20,13
2023-01-22 11,18,10
2023-01-22 12,16,10
2023-01-22 13,14,13
2023-01-22 14,14,11
2023-01-22 15,23,10
2023-01-22 16,22,11
2023-01-22 17,21,14
2023-01-22 18,18,10
2023-01-22 19,18,11
2023-01-22 20,21,12
2023-01-22 21,28,14
2023-01-22 22,32,11
2023-01-22 23,32,15
2023-01-23 00,27,15
2023-01-23 01,23,21
2023-01-23 02,33,16
2023-01-23 03,36,19
2023-01-23 04,40,15
2023-01-23 05,32,19
2023-01-23 06,27,16
2023-01-23 07,33,18
2023-01-23 08,37,19
2023-01-23 09,36,16
2023-01-23 10,35,18
2023-01-23 11,37,16
2023-01-23 12,33,10
2023-01-23 13,31,8
2023-01-23 14,33,11
2023-01-23 15,32,11
2023-01-23 16,32,14
2023-01-23 17,39,15
2023-01-23 18,43,13
2023-01-23 19,46,19
2023-01-23 20,47,20
2023-01-23 21,49,24
2023-01-23 22,58,31
2023-01-23 23,63,32
2023-01-24 00,69,37
2023-01-24 01,75,44
2023-01-24 02,88,42
2023-01-24 03,96,34
2023-01-24 04,92,23
2023-01-24 05,68,16
2023-01-24 06,46,14
2023-01-24 07,31,9
2023-01-24 08,23,8
2023-01-24 09,24,10
2023-01-24 10,20,7
2023-01-24 11,16,6
2023-01-24 12,18,5
2023-01-24 13,17,3
2023-01-24 14,16,5
2023-01-24 15,20,7
2023-01-24 16,18,4
2023-01-24 17,19,5
2023-01-24 18,20,12
2023-01-24 19,18,8
2023-01-24 20,16,6
2023-01-24 21,10,7
2023-01-24 22,11,7
2023-01-24 23,7,5
2023-01-25 00,8,2
2023-01-25 01,8,4
2023-01-25 02,11,5
2023-01-25 03,10,7
2023-01-25 04,10,5
2023-01-25 05,7,3
2023-01-25 06,7,4
2023-01-25 07,8,6
2023-01-25 08,9,5
2023-01-25 09,9,7
2023-01-25 10,11,6
2023-01-25 11,7,6
2023-01-25 12,8,7
2023-01-25 13,5,4
2023-01-25 14,8,4
2023-01-25 15,10,4
2023-01-25 16,11,4
2023-01-25 17,11,4
2023-01-25 18,14,5
2023-01-25 19,9,5
2023-01-25 20,9,7
2023-01-25 21,15,8
2023-01-25 22,10,
2023-01-25 23,5,
2023-01-26 00,9,
2023-01-26 01,19,17
2023-01-26 02,21,10
2023-01-26 03,18,9
2023-01-26 04,18,11
2023-01-26 05,15,8
2023-01-26 06,11,9
2023-01-26 07,14,13
2023-01-26 08,15,10
2023-01-26 09,18,8
2023-01-26 10,24,7
2023-01-26 11,29,19
2023-01-26 12,39,18
2023-01-26 13,39,21
2023-01-26 14,36,14
2023-01-26 15,32,14
2023-01-26 16,34,15
2023-01-26 17,32,12
2023-01-26 18,38,21
2023-01-26 19,48,27
2023-01-26 20,56,24
2023-01-26 21,57,24
2023-01-26 22,50,23
2023-01-26 23,42,21
2023-01-27 00,39,19
2023-01-27 01,38,27
2023-01-27 02,42,23
2023-01-27 03,49,21
2023-01-27 04,52,20
2023-01-27 05,48,15
2023-01-27 06,50,17
2023-01-27 07,53,22
2023-01-27 08,50,21
2023-01-27 09,49,17
2023-01-27 10,47,18
2023-01-27 11,45,20
2023-01-27 12,37,11
2023-01-27 13,27,11
2023-01-27 14,25,9
2023-01-27 15,27,11
2023-01-27 16,28,11
2023-01-27 17,23,8
2023-01-27 18,18,9
2023-01-27 19,19,12
2023-01-27 20,12,
2023-01-27 21,14,10
2023-01-27 22,17,15
2023-01-27 23,19,11
2023-01-28 00,21,9
2023-01-28 01,20,8
2023-01-28 02,20,7
2023-01-28 03,19,11
2023-01-28 04,19,9
2023-01-28 05,18,10
2023-01-28 06,21,15
2023-01-28 07,25,16
2023-01-28 08,28,13
2023-01-28 09,32,14
2023-01-28 10,32,10
2023-01-28 11,25,8
2023-01-28 12,20,10
2023-01-28 13,18,7
2023-01-28 14,19,7
2023-01-28 15,22,7
2023-01-28 16,28,9
2023-01-28 17,29,11
2023-01-28 18,26,11
2023-01-28 19,23,13
2023-01-28 20,25,16
2023-01-28 21,30,18
2023-01-28 22,31,17
2023-01-28 23,30,16
2023-01-29 00,30,18
2023-01-29 01,29,26
2023-01-29 02,34,21
2023-01-29 03,38,19
2023-01-29 04,37,22
2023-01-29 05,36,21
2023-01-29 06,38,20
2023-01-29 07,39,15
2023-01-29 08,38,18
2023-01-29 09,43,24
2023-01-29 10,46,21
2023-01-29 11,45,13
2023-01-29 12,42,10
2023-01-29 13,41,9
2023-01-29 14,47,10
2023-01-29 15,52,10
2023-01-29 16,53,11
2023-01-29 17,50,9
2023-01-29 18,54,16
2023-01-29 19,56,15
2023-01-29 20,56,19
2023-01-29 21,53,20
2023-01-29 22,50,20
2023-01-29 23,52,24
2023-01-30 00,54,21
2023-01-30 01,49,28
2023-01-30 02,47,19
2023-01-30 03,47,12
2023-01-30 04,45,17
2023-01-30 05,46,16
2023-01-30 06,50,12
2023-01-30 07,53,19
2023-01-30 08,53,20
2023-01-30 09,55,22
2023-01-30 10,58,22
2023-01-30 11,46,12
2023-01-30 12,33,8
2023-01-30 13,26,7
2023-01-30 14,21,6
