date,pm10,pm25,
2022-12-25 16,18,8,
2022-12-25 17,25,9,
2022-12-25 18,30,10,
2022-12-25 19,31,12,
2022-12-25 20,28,15,
2022-12-25 21,25,14,
2022-12-25 22,24,16,
2022-12-25 23,30,19,
2022-12-26 00,37,20,
2022-12-26 01,35,24,
2022-12-26 02,30,15,
2022-12-26 03,30,16,
2022-12-26 04,38,16,
2022-12-26 05,41,21,
2022-12-26 06,44,18,
2022-12-26 07,43,20,
2022-12-26 08,50,27,
2022-12-26 09,55,22,
2022-12-26 10,61,31,
2022-12-26 11,55,18,
2022-12-26 12,41,22,
2022-12-26 13,,,
2022-12-26 14,,20,
2022-12-26 15,40,23,
2022-12-26 16,43,21,
2022-12-26 17,51,20,
2022-12-26 18,55,17,
2022-12-26 19,64,27,
2022-12-26 20,80,25,
2022-12-26 21,87,25,
2022-12-26 22,87,33,
2022-12-26 23,81,27,
2022-12-27 00,68,22,
2022-12-27 01,61,28,
2022-12-27 02,55,21,
2022-12-27 03,56,17,
2022-12-27 04,60,19,
2022-12-27 05,56,22,
2022-12-27 06,51,21,
2022-12-27 07,51,22,
2022-12-27 08,56,25,
2022-12-27 09,58,24,
2022-12-27 10,56,26,
2022-12-27 11,57,21,
2022-12-27 12,43,13,
2022-12-27 13,29,11,
2022-12-27 14,26,9,
2022-12-27 15,26,8,
2022-12-27 16,28,9,
2022-12-27 17,29,9,
2022-12-27 18,35,11,
2022-12-27 19,41,14,
2022-12-27 20,44,12,
2022-12-27 21,48,18,
2022-12-27 22,48,17,
2022-12-27 23,49,17,
2022-12-28 00,54,17,
2022-12-28 01,46,24,
2022-12-28 02,32,19,
2022-12-28 03,34,15,
2022-12-28 04,40,19,
2022-12-28 05,47,13,
2022-12-28 06,49,19,
2022-12-28 07,50,18,
2022-12-28 08,57,21,
2022-12-28 09,59,19,
2022-12-28 10,52,26,
2022-12-28 11,57,29,
2022-12-28 12,60,24,
2022-12-28 13,52,21,
2022-12-28 14,54,18,
2022-12-28 15,54,18,
2022-12-28 16,55,20,
2022-12-28 17,51,22,
2022-12-28 18,51,18,
2022-12-28 19,51,21,
2022-12-28 20,54,22,
2022-12-28 21,54,21,
2022-12-28 22,51,22,
2022-12-28 23,47,19,
2022-12-29 00,37,16,
2022-12-29 01,29,22,
2022-12-29 02,19,15,
2022-12-29 03,24,13,
2022-12-29 04,25,13,
2022-12-29 05,24,11,
2022-12-29 06,27,18,
2022-12-29 07,38,16,
2022-12-29 08,50,23,
2022-12-29 09,64,29,
2022-12-29 10,63,21,
2022-12-29 11,48,17,
2022-12-29 12,38,14,
2022-12-29 13,27,15,
2022-12-29 14,21,7,
2022-12-29 15,25,8,
2022-12-29 16,29,9,
2022-12-29 17,32,9,
2022-12-29 18,34,9,
2022-12-29 19,36,17,
2022-12-29 20,42,17,
2022-12-29 21,43,17,
2022-12-29 22,40,20,
2022-12-29 23,43,19,
2022-12-30 00,45,20,
2022-12-30 01,45,23,
2022-12-30 02,48,23,
2022-12-30 03,53,17,
2022-12-30 04,54,17,
2022-12-30 05,46,17,
2022-12-30 06,44,19,
2022-12-30 07,46,19,
2022-12-30 08,51,21,
2022-12-30 09,59,24,
2022-12-30 10,68,30,
2022-12-30 11,71,34,
2022-12-30 12,69,33,
2022-12-30 13,73,24,
2022-12-30 14,73,18,
2022-12-30 15,64,21,
2022-12-30 16,60,24,
2022-12-30 17,59,22,
2022-12-30 18,64,17,
2022-12-30 19,68,22,
2022-12-30 20,69,26,
2022-12-30 21,70,26,
2022-12-30 22,73,24,
2022-12-30 23,73,22,
2022-12-31 00,70,24,
2022-12-31 01,68,30,
2022-12-31 02,64,26,
2022-12-31 03,67,25,
2022-12-31 04,64,24,
2022-12-31 05,63,25,
2022-12-31 06,59,25,
2022-12-31 07,56,22,
2022-12-31 08,56,23,
2022-12-31 09,58,23,
2022-12-31 10,55,24,
2022-12-31 11,49,19,
2022-12-31 12,43,14,
2022-12-31 13,33,9,
2022-12-31 14,22,6,
2022-12-31 15,25,11,
2022-12-31 16,30,12,
2022-12-31 17,35,15,
2022-12-31 18,40,15,
2022-12-31 19,43,22,
2022-12-31 20,48,20,
2022-12-31 21,50,24,
2022-12-31 22,49,27,
2022-12-31 23,55,26,
