일시,기온,풍향(16방위),풍속(m/s),상대습도(%)
2023-01-01 0:05,-2.1,146,0.9,64
2023-01-01 0:10,-2.1,154,1,64
2023-01-01 0:15,-2.2,110,0.8,64
2023-01-01 0:20,-2.2,133,0.9,65
2023-01-01 0:25,-2.3,145,0.8,66
2023-01-01 0:30,-2.4,130,0.9,66
2023-01-01 0:35,-2.5,130,1.2,66
2023-01-01 0:40,-2.7,92,0.2,67
2023-01-01 0:45,-2.7,120,1.1,68
2023-01-01 0:50,-2.8,119,0.4,68
2023-01-01 0:55,-2.9,109,0.9,69
2023-01-01 1:00,-2.9,119,0.7,68
2023-01-01 1:05,-2.9,152,0.8,69
2023-01-01 1:10,-3,142,0.7,69
2023-01-01 1:15,-3,132,0.7,70
2023-01-01 1:20,-3.1,134,0.7,69
2023-01-01 1:25,-3.2,145,1.3,70
2023-01-01 1:30,-3.4,91,0.1,70
2023-01-01 1:35,-3.4,143,0.6,70
2023-01-01 1:40,-3.1,108,0.4,70
2023-01-01 1:45,-3.2,103,0.2,69
2023-01-01 1:50,-3.5,75,0.2,70
2023-01-01 1:55,-3.5,48,0.5,70
2023-01-01 2:00,-3.6,87,0.7,71
2023-01-01 2:05,-3.5,120,0.3,71
2023-01-01 2:10,-3.4,46,0,70
2023-01-01 2:15,-3.4,135,0.3,70
2023-01-01 2:20,-3.3,142,0.4,70
2023-01-01 2:25,-3.3,321,0.1,69
2023-01-01 2:30,-3.5,100,0.5,70
2023-01-01 2:35,-3.6,92,0.2,70
2023-01-01 2:40,-3.7,61,0.5,71
2023-01-01 2:45,-3.7,120,0.8,73
2023-01-01 2:50,-3.5,156,0.7,72
2023-01-01 2:55,-3.3,142,0.5,71
2023-01-01 3:00,-3.4,96,0.5,71
2023-01-01 3:05,-3.6,98,0.6,71
2023-01-01 3:10,-3.6,92,0.4,71
2023-01-01 3:15,-3.8,52,0.6,71
2023-01-01 3:20,-3.9,25,0.4,72
2023-01-01 3:25,-4.1,79,0.6,74
2023-01-01 3:30,-4,104,0.7,74
2023-01-01 3:35,-4,73,0.6,73
2023-01-01 3:40,-4,58,0.7,73
2023-01-01 3:45,-4.1,94,0.4,73
2023-01-01 3:50,-4.1,84,0.4,73
2023-01-01 3:55,-4.2,60,0.4,73
2023-01-01 4:00,-4.2,88,0.4,73
2023-01-01 4:05,-4.2,92,0.5,74
2023-01-01 4:10,-4.3,107,0.6,74
2023-01-01 4:15,-4.4,105,0.5,75
2023-01-01 4:20,-4.5,85,0.5,76
2023-01-01 4:25,-4.5,86,0.4,76
2023-01-01 4:30,-4.5,76,0.7,76
2023-01-01 4:35,-4.6,119,0.6,76
2023-01-01 4:40,-4.6,102,0.8,76
2023-01-01 4:45,-4.6,96,0.4,77
2023-01-01 4:50,-4.6,72,0.2,76
2023-01-01 4:55,-4.6,79,0.5,76
