조건별분석,,,,,,,,,,,,,,,,,,,
[검색조건],,,,,,,,,,,,,,,,,,,
,분류: 지상,,,,,,,,,,,,,,,,,,
,요소 : 바람,,,,,,,,,,,,,,,,,,
,검색구분 : 일,,,,,,,,,,,,,,,,,,
,지역/지점명 : 진주,,,,,,,,,,,,,,,,,,
,기간 : 2023 ~ 2023년 01 ~ 05월 01 ~ 31일,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"	",,,,,,,,,,,,,,,,,,,
"	",,,,,,,,,,,,,,,,,,,
"	",,,,,,,,,,,,,,,,,,,
"	",,,,,,,,,,,,,,,,,,,
"	",,,,,,,,,,,,,,,,,,,
"		지점번호",지점명,일시,평균풍속(m/s),최대풍속(m/s),최대풍속풍향(deg),"	최대풍속시각",최대순간풍속(m/s),최대순간풍속풍향(deg),"	최대순간풍속시각",,,,1월달 최대풍속방향,,2,,3,,4
"		192",진주,2023-02-24,1.3,4.6,340,15:47,8.7,340,15:51,,,,,,,,,,
"		192",진주,2023-02-25,1.9,3.9,320,13:28,8.1,320,14:49,,,,,,,,,,
"		192",진주,2023-02-26,0.7,2.8,140,12:12,4.7,110,13:59,,,,,,,,,,
"		192",진주,2023-02-27,0.8,3.9,110,13:54,7.2,140,14:28,,,,,,,,,,
"		192",진주,2023-02-28,0.9,3.3,180,14:29,8.3,180,16:28,,,,,,,,,,
"		192",진주,2023-03-01,1.6,4.7,270,14:58,8.3,340,20:21,,,,,,,,,,
"		192",진주,2023-03-02,1.6,4.1,340,3:57,9.5,340,3:54,,,,,,,,,,
"		192",진주,2023-03-03,0.9,2.9,160,16:02,6.1,140,16:38,,,,,,,,,,
"		192",진주,2023-03-04,0.7,2.9,110,14:25,5,70,14:19,,,,,,,,,,
"		192",진주,2023-03-05,0.6,2.2,230,17:02,5.7,200,17:02,,,,,,,,,,
"		192",진주,2023-03-06,0.8,3.6,140,15:09,7.9,140,15:09,,,,,,,,,,
"		192",진주,2023-03-07,0.9,3.2,140,13:52,7.4,200,16:51,,,,,,,,,,
"		192",진주,2023-03-08,1.3,3.9,160,12:45,10.5,200,12:43,,,,,,,,,,
"		192",진주,2023-03-09,0.9,3.4,250,11:33,6.9,250,12:50,,,,,,,,,,
"		192",진주,2023-03-10,0.8,3.2,270,15:09,7.1,200,15:44,,,,,,,,,,
"		192",진주,2023-03-11,1,3.3,200,13:44,8.3,180,15:33,,,,,,,,,,
"		192",진주,2023-03-12,1.5,6.7,270,12:32,12.9,290,12:23,,,,,,,,,,
"		192",진주,2023-03-13,1.6,4.7,320,2:16,11.2,320,2:10,,,,,,,,,,
"		192",진주,2023-03-14,1,4.8,110,14:00,8.4,180,13:00,,,,,,,,,,
"		192",진주,2023-03-15,1.1,6,250,14:49,11.7,270,14:34,,,,,,,,,,
"		192",진주,2023-03-16,1.2,4,70,9:37,7.1,50,8:35,,,,,,,,,,
"		192",진주,2023-03-17,0.9,2.5,110,12:51,4.7,110,11:49,,,,,,,,,,
"		192",진주,2023-03-18,0.8,2.6,180,17:13,7.1,140,18:25,,,,,,,,,,
"		192",진주,2023-03-19,0.8,2.8,110,16:49,5.7,160,16:42,,,,,,,,,,
"		192",진주,2023-03-20,1,3.6,110,15:32,7.7,140,15:36,,,,,,,,,,
"		192",진주,2023-03-21,0.8,2.9,140,16:17,5.5,140,16:10,,,,,,,,,,
"		192",진주,2023-03-22,0.9,2.1,320,3:26,4.2,290,3:23,,,,,,,,,,
"		192",진주,2023-03-23,0.4,1.5,20,12:17,4.4,50,13:55,,,,,,,,,,
"		192",진주,2023-03-24,0.8,3,90,11:57,4.3,70,11:50,,,,,,,,,,
"		192",진주,2023-03-25,0.9,2.5,70,16:17,5,20,13:37,,,,,,,,,,
"		192",진주,2023-03-26,0.7,3.4,250,15:00,5.9,250,15:00,,,,,,,,,,
"		192",진주,2023-03-27,0.8,2.5,70,10:23,4.9,160,17:34,,,,,,,,,,
"		192",진주,2023-03-28,0.8,2.8,110,14:40,6.1,110,14:38,,,,,,,,,,
"		192",진주,2023-03-29,0.7,2.7,200,17:26,6.3,200,17:24,,,,,,,,,,
"		192",진주,2023-03-30,0.6,2.9,200,15:44,5.4,180,17:09,,,,,,,,,,
"		192",진주,2023-03-31,0.7,3,110,13:36,7,270,16:55,,,,,,,,,,
"		192",진주,2023-04-01,0.9,3.1,90,13:36,6.2,50,12:42,,,,,,,,,,
"		192",진주,2023-04-02,1.5,4,70,15:55,9.2,50,16:25,,,,,,,,,,
"		192",진주,2023-04-03,1.5,3.9,70,11:04,7.7,110,11:52,,,,,,,,,,
"		192",진주,2023-04-04,0.8,3,180,14:43,7.4,160,14:35,,,,,,,,,,
"		192",진주,2023-04-05,1.7,4.2,110,10:41,11.3,180,13:40,,,,,,,,,,
"		192",진주,2023-04-06,1.4,4.1,250,1:18,6.5,230,1:13,,,,,,,,,,
"		192",진주,2023-04-07,1.7,4.1,320,23:52,8.4,340,16:16,,,,,,,,,,
"		192",진주,2023-04-08,1.9,5.6,290,12:41,12.3,320,12:33,,,,,,,,,,
"		192",진주,2023-04-09,1.1,4.3,110,13:33,7.8,270,11:51,,,,,,,,,,
"		192",진주,2023-04-10,1.4,5.3,270,11:19,9.2,290,11:17,,,,,,,,,,
"		192",진주,2023-04-11,1.5,3.9,270,15:12,11.2,180,11:13,,,,,,,,,,
"		192",진주,2023-04-12,1.5,3.7,360,2:09,8,340,2:05,,,,,,,,,,
"		192",진주,2023-04-13,1,3.4,110,14:58,6.8,110,13:40,,,,,,,,,,
"		192",진주,2023-04-14,0.5,2.7,90,22:23,4.4,90,22:23,,,,,,,,,,
"		192",진주,2023-04-15,0.5,2.2,230,14:42,4.7,340,17:12,,,,,,,,,,
"		192",진주,2023-04-16,1,3.9,230,15:10,7.2,340,18:27,,,,,,,,,,
"		192",진주,2023-04-17,0.8,2.8,180,15:09,6.6,180,17:13,,,,,,,,,,
"		192",진주,2023-04-18,0.7,3,270,13:55,6.6,180,17:33,,,,,,,,,,
"		192",진주,2023-04-19,0.4,1.4,180,0:24,3,90,9:53,,,,,,,,,,
"		192",진주,2023-04-20,0.9,2.9,200,13:10,5.9,200,15:31,,,,,,,,,,
"		192",진주,2023-04-21,1.2,3.1,70,11:49,7.2,110,13:35,,,,,,,,,,
"		192",진주,2023-04-22,1.7,4.2,70,11:45,8.5,70,11:43,,,,,,,,,,
"		192",진주,2023-04-23,1.2,3.1,70,12:21,6.9,70,12:59,,,,,,,,,,
"		192",진주,2023-04-24,0.9,3.3,70,13:42,6.2,90,13:40,,,,,,,,,,
"		192",진주,2023-04-25,0.4,1.4,50,1:41,3.3,320,11:19,,,,,,,,,,
"		192",진주,2023-04-26,1.1,3.5,230,13:19,7.6,20,17:23,,,,,,,,,,
"		192",진주,2023-04-27,0.9,3,270,12:49,6.6,230,15:29,,,,,,,,,,
"		192",진주,2023-04-28,0.9,4.2,200,15:12,10.6,200,14:36,,,,,,,,,,
"		192",진주,2023-04-29,1.3,4,230,17:05,7.7,230,16:31,,,,,,,,,,
"		192",진주,2023-04-30,1.5,4.1,250,16:55,7.3,110,14:10,,,,,,,,,,
"		192",진주,2023-05-01,1.2,3,200,2:59,6.2,340,16:14,,,,,,,,,,
"		192",진주,2023-05-02,0.8,3.2,200,15:15,5.9,230,12:05,,,,,,,,,,
"		192",진주,2023-05-03,0.8,2.7,160,13:51,5.9,110,12:58,,,,,,,,,,
"		192",진주,2023-05-04,0.6,2.7,200,23:54,6.5,180,23:16,,,,,,,,,,
"		192",진주,2023-05-05,1.8,3.6,180,21:12,10.2,160,21:09,,,,,,,,,,
"		",,,,,,,,,,,,,,,,,,,
"		",,,,,,,,,,,,,,,,,,,
"	",,,,,,,,,,,,,,,,,,,
"	",,,,,,,,,,,,,,,,,,,
