no,device_id,pm25,pm10,temp,humi,reg_date
3709712,D0011,27.9,28.0,13.8,50.7,2023-04-01 01:00:55.092523
3709731,D0011,27.6,27.7,13.7,51.0,2023-04-01 01:01:56.0926
3709749,D0011,26.3,26.4,13.7,51.4,2023-04-01 01:02:56.091715
3709767,D0011,26.2,26.2,13.6,51.7,2023-04-01 01:03:56.089194
3709784,D0011,27.1,27.1,13.5,51.4,2023-04-01 01:04:55.100508
3709802,D0011,26.1,26.1,13.6,50.9,2023-04-01 01:05:55.099957
3709820,D0011,27.1,27.2,13.6,50.8,2023-04-01 01:06:55.10882
3709838,D0011,26.9,27.0,13.6,51.0,2023-04-01 01:07:55.093164
3709856,D0011,27.2,27.2,13.6,51.1,2023-04-01 01:08:55.094813
3709875,D0011,27.6,27.6,13.7,51.3,2023-04-01 01:09:56.098456
3709892,D0011,28.5,28.5,13.6,51.9,2023-04-01 01:10:55.109779
3709910,D0011,27.4,27.4,13.6,51.7,2023-04-01 01:11:55.113201
3709929,D0011,28.7,28.7,13.6,51.7,2023-04-01 01:12:56.10928
3709947,D0011,28.3,28.4,13.6,51.6,2023-04-01 01:13:56.11809
3709965,D0011,28.4,28.5,13.6,51.8,2023-04-01 01:14:56.116584
3709983,D0011,29.4,29.4,13.6,51.7,2023-04-01 01:15:56.115002
3710000,D0011,29.0,29.0,13.5,52.0,2023-04-01 01:16:55.136386
3710018,D0011,28.4,28.4,13.5,51.9,2023-04-01 01:17:55.116567
3710036,D0011,28.1,28.2,13.5,52.0,2023-04-01 01:18:55.11748
3710054,D0011,28.0,28.0,13.5,51.8,2023-04-01 01:19:55.11809
3710071,D0011,28.8,28.8,13.5,52.3,2023-04-01 01:20:55.125906
3710088,D0011,29.2,29.3,13.4,52.3,2023-04-01 01:21:55.135243
3710106,D0011,29.9,29.9,13.4,52.4,2023-04-01 01:22:55.126957
3710124,D0011,28.8,28.9,13.3,52.2,2023-04-01 01:23:55.139626
3710142,D0011,29.7,29.8,13.2,51.9,2023-04-01 01:24:55.143941
3710161,D0011,28.9,29.0,13.4,51.8,2023-04-01 01:25:56.136948
3710178,D0011,29.9,29.9,13.5,52.1,2023-04-01 01:26:55.147737
3710196,D0011,29.9,29.9,13.5,52.2,2023-04-01 01:27:55.156197
3710215,D0011,29.7,29.7,13.4,52.4,2023-04-01 01:28:56.146843
3710232,D0011,29.5,29.6,13.4,52.3,2023-04-01 01:29:55.14802
3710250,D0011,29.3,29.4,13.5,52.4,2023-04-01 01:30:55.167895
3710269,D0011,29.2,29.3,13.5,52.5,2023-04-01 01:31:56.159929
3710286,D0011,29.6,29.7,13.5,52.4,2023-04-01 01:32:55.167409
3710304,D0011,28.7,28.9,13.4,52.6,2023-04-01 01:33:55.168361
3710322,D0011,29.1,29.1,13.4,52.6,2023-04-01 01:34:55.159636
3710340,D0011,30.0,30.0,13.3,52.9,2023-04-01 01:35:55.169922
3710358,D0011,29.1,29.1,13.3,53.0,2023-04-01 01:36:55.187275
3710376,D0011,28.3,28.3,13.3,53.1,2023-04-01 01:37:55.173945
3710394,D0011,28.8,29.0,13.2,53.3,2023-04-01 01:38:55.169764
3710413,D0011,29.2,29.3,13.2,53.3,2023-04-01 01:39:55.189766
3710430,D0011,29.1,29.1,13.2,53.3,2023-04-01 01:40:55.180211
3710449,D0011,27.2,27.2,13.1,53.3,2023-04-01 01:41:56.190228
3710467,D0011,28.9,29.0,13.0,53.3,2023-04-01 01:42:56.189363
3710484,D0011,28.1,28.1,13.1,52.9,2023-04-01 01:43:55.192021
3710502,D0011,29.7,29.7,13.2,52.8,2023-04-01 01:44:55.190403
3710521,D0011,28.8,28.8,13.3,53.0,2023-04-01 01:45:56.198521
3710539,D0011,28.9,28.9,13.3,53.1,2023-04-01 01:46:56.201413
3710557,D0011,28.9,29.0,13.2,53.4,2023-04-01 01:47:56.200462
3710574,D0011,29.1,29.2,13.2,53.5,2023-04-01 01:48:55.209486
3710592,D0011,29.1,29.1,13.2,53.5,2023-04-01 01:49:55.207784
3710610,D0011,28.8,28.9,13.2,53.6,2023-04-01 01:50:55.20881
3710628,D0011,29.0,29.1,13.2,53.8,2023-04-01 01:51:55.22887
3710646,D0011,28.8,28.8,13.1,53.9,2023-04-01 01:52:55.217716
3710664,D0011,28.5,28.5,13.1,53.8,2023-04-01 01:53:55.212508
3710682,D0011,27.4,27.6,13.1,53.9,2023-04-01 01:54:55.216317
3710701,D0011,27.0,27.1,13.0,53.9,2023-04-01 01:55:56.219377
3710718,D0011,27.5,27.6,13.0,54.1,2023-04-01 01:56:55.234288
3710736,D0011,27.9,27.9,13.1,54.1,2023-04-01 01:57:55.22873
3710754,D0011,28.4,28.4,12.9,54.5,2023-04-01 01:58:55.237506
3710772,D0011,28.7,28.7,12.9,54.7,2023-04-01 01:59:55.232356
3710790,D0011,28.6,28.7,12.8,54.7,2023-04-01 02:00:55.242112
3710808,D0011,28.9,28.9,12.9,54.2,2023-04-01 02:01:55.25332
3710827,D0011,29.5,29.5,12.9,54.3,2023-04-01 02:02:56.245241
3710845,D0011,29.7,29.8,13.0,54.2,2023-04-01 02:03:56.246619
3710863,D0011,29.7,29.9,13.0,54.5,2023-04-01 02:04:56.25603
3710881,D0011,29.9,29.9,12.9,54.9,2023-04-01 02:05:56.256361
3710899,D0011,28.7,28.7,13.0,54.6,2023-04-01 02:06:56.258715
3710916,D0011,29.3,29.4,13.0,54.5,2023-04-01 02:07:55.258349
3710935,D0011,30.3,30.3,13.0,54.5,2023-04-01 02:08:56.269946
3710953,D0011,29.7,29.8,13.0,54.7,2023-04-01 02:09:56.270916
3710970,D0011,29.0,29.1,12.9,54.8,2023-04-01 02:10:55.281155
3710988,D0011,29.6,29.6,12.9,55.1,2023-04-01 02:11:55.283789
3711007,D0011,29.4,29.5,12.8,55.3,2023-04-01 02:12:56.279926
3711024,D0011,29.2,29.2,12.8,55.3,2023-04-01 02:13:55.295604
3711042,D0011,29.1,29.1,12.8,55.7,2023-04-01 02:14:55.283716
3711060,D0011,28.8,28.9,12.7,55.6,2023-04-01 02:15:55.314468
3711079,D0011,29.4,29.4,12.7,55.9,2023-04-01 02:16:56.293341
3711097,D0011,29.3,29.3,12.6,55.5,2023-04-01 02:17:56.293868
3711115,D0011,30.1,30.1,12.6,55.1,2023-04-01 02:18:56.293864
3711132,D0011,30.2,30.2,12.8,55.0,2023-04-01 02:19:55.300214
3711150,D0011,29.9,30.0,12.8,55.2,2023-04-01 02:20:55.303665
3711169,D0011,29.9,30.0,12.8,55.5,2023-04-01 02:21:56.304961
3711187,D0011,28.3,28.3,12.8,55.5,2023-04-01 02:22:56.305873
3711205,D0011,29.0,29.0,12.8,55.3,2023-04-01 02:23:56.314888
3711222,D0011,29.7,29.8,12.8,55.6,2023-04-01 02:24:55.308994
3711240,D0011,29.3,29.4,12.8,55.9,2023-04-01 02:25:55.326838
3711258,D0011,30.1,30.1,12.7,56.1,2023-04-01 02:26:55.336678
3711276,D0011,29.6,29.6,12.7,56.0,2023-04-01 02:27:55.321661
3711295,D0011,29.7,29.7,12.7,56.1,2023-04-01 02:28:55.328208
