no,device_id,pm25,pm10,temp,humi,reg_date
3542907,D0011,12.7,13.2,15.6,56.2,2023-03-25 10:24:30.971804
3542924,D0011,12.2,12.9,15.4,56.4,2023-03-25 10:25:30.97113
3542942,D0011,12.2,12.9,15.4,54.8,2023-03-25 10:27:30.970493
3542959,D0011,12.8,13.5,15.6,54.5,2023-03-25 10:28:30.982258
3542988,D0011,11.6,12.2,15.5,54.9,2023-03-25 10:30:30.986305
3543006,D0011,10.9,11.6,15.7,54.4,2023-03-25 10:31:30.980731
3543019,D0011,11.3,12.3,15.8,53.7,2023-03-25 10:33:29.990689
3543037,D0011,11.3,12.3,15.9,53.7,2023-03-25 10:34:30.992927
3543075,D0011,11.7,12.7,16.3,54.9,2023-03-25 10:40:31.010238
3543092,D0011,12.3,13.3,16.2,52.6,2023-03-25 10:41:30.025192
3543109,D0011,12.7,13.7,15.5,53.9,2023-03-25 10:42:31.013601
3543133,D0011,12.4,13.6,15.9,56.4,2023-03-25 10:45:31.020266
3543150,D0011,12.4,13.3,15.9,55.8,2023-03-25 10:46:31.026647
3543167,D0011,12.7,13.6,16.0,55.2,2023-03-25 10:47:31.030904
3543184,D0011,12.7,13.6,16.2,55.7,2023-03-25 10:48:31.031821
3543201,D0011,12.8,13.8,16.4,55.9,2023-03-25 10:49:31.031979
3543218,D0011,12.9,14.0,16.5,54.3,2023-03-25 10:50:31.040214
3543244,D0011,11.1,12.4,16.4,52.6,2023-03-25 11:02:31.067347
3543269,D0011,12.3,13.5,16.3,53.5,2023-03-25 11:23:31.121725
3543286,D0011,12.2,13.4,16.4,53.5,2023-03-25 11:24:31.123912
3543303,D0011,11.8,13.0,16.6,53.3,2023-03-25 11:25:31.1256
3543320,D0011,12.4,13.8,16.7,51.0,2023-03-25 11:26:31.134216
3543337,D0011,11.8,13.0,16.6,50.1,2023-03-25 11:27:31.140047
3543354,D0011,12.3,13.6,16.7,49.9,2023-03-25 11:28:31.130891
3543371,D0011,11.2,12.5,16.7,51.2,2023-03-25 11:29:31.143761
3543388,D0011,12.0,13.2,16.6,51.9,2023-03-25 11:30:31.152575
3543405,D0011,11.4,12.3,16.6,52.4,2023-03-25 11:31:31.145177
3543422,D0011,11.4,12.5,16.8,52.6,2023-03-25 11:32:31.154168
3543439,D0011,11.6,12.8,16.8,52.8,2023-03-25 11:33:31.149206
3543456,D0011,11.2,12.3,16.7,51.0,2023-03-25 11:34:31.156229
3543474,D0011,11.4,12.5,16.7,52.0,2023-03-25 11:35:31.152127
3543492,D0011,12.0,13.2,16.7,52.8,2023-03-25 11:36:31.162174
3543510,D0011,12.1,13.5,16.6,51.3,2023-03-25 11:37:31.160534
3543528,D0011,12.3,13.7,16.7,51.0,2023-03-25 11:38:30.162719
3543545,D0011,12.5,13.7,16.6,51.4,2023-03-25 11:39:31.161851
3543562,D0011,12.5,13.7,16.6,52.1,2023-03-25 11:40:31.173311
3543579,D0011,11.9,13.2,16.7,52.1,2023-03-25 11:41:31.176137
3543596,D0011,11.9,13.1,16.8,53.3,2023-03-25 11:42:31.17134
3543613,D0011,11.0,12.2,16.9,50.7,2023-03-25 11:43:31.171164
3543630,D0011,11.2,12.4,16.8,50.6,2023-03-25 11:44:31.183661
3543647,D0011,10.8,11.9,16.9,51.0,2023-03-25 11:45:31.185433
3543664,D0011,11.8,13.0,16.8,50.4,2023-03-25 11:46:31.18708
3543681,D0011,11.4,12.6,16.8,50.7,2023-03-25 11:47:31.191155
3543698,D0011,12.0,13.3,16.4,50.7,2023-03-25 11:48:31.194227
3543715,D0011,11.7,12.9,16.0,51.9,2023-03-25 11:49:31.187242
3543732,D0011,11.1,12.3,15.9,53.8,2023-03-25 11:50:31.190535
3543749,D0011,11.8,12.9,16.3,53.9,2023-03-25 11:51:31.184738
3543766,D0011,12.1,13.5,16.5,52.2,2023-03-25 11:52:31.194978
3543783,D0011,11.6,12.8,16.7,51.4,2023-03-25 11:53:31.190195
3543800,D0011,12.3,13.6,16.7,51.7,2023-03-25 11:54:31.198782
3543816,D0011,11.7,12.9,16.7,52.8,2023-03-25 11:55:31.200429
3543833,D0011,12.3,13.6,16.6,50.5,2023-03-25 11:56:31.197904
3543850,D0011,11.5,12.7,16.3,50.4,2023-03-25 11:57:31.194163
3543867,D0011,11.7,13.1,16.8,50.5,2023-03-25 11:58:31.205268
3543884,D0011,11.2,12.4,17.2,50.4,2023-03-25 11:59:31.198688
3543901,D0011,12.4,13.9,17.4,50.8,2023-03-25 12:00:31.209864
3543918,D0011,11.8,13.3,17.7,50.1,2023-03-25 12:01:31.209004
3543935,D0011,12.1,13.7,17.6,48.9,2023-03-25 12:02:31.209727
3543952,D0011,11.1,12.5,17.7,49.3,2023-03-25 12:03:31.214682
3543969,D0011,10.8,11.9,17.5,48.7,2023-03-25 12:04:31.211694
3543987,D0011,11.6,12.9,17.5,49.1,2023-03-25 12:05:31.222224
3544005,D0011,11.5,12.7,17.5,49.8,2023-03-25 12:06:31.214199
3544023,D0011,11.1,12.3,17.7,49.1,2023-03-25 12:07:31.220035
3544041,D0011,10.6,11.7,17.8,49.0,2023-03-25 12:08:31.222289
3544059,D0011,11.3,12.6,17.9,48.7,2023-03-25 12:09:31.218158
3544077,D0011,10.8,12.0,17.9,48.4,2023-03-25 12:10:31.218786
3544095,D0011,11.4,12.8,17.8,49.1,2023-03-25 12:11:31.238467
3544113,D0011,11.4,12.9,17.0,48.7,2023-03-25 12:12:31.226202
3544131,D0011,12.5,13.9,17.4,48.6,2023-03-25 12:13:31.236823
3544149,D0011,12.0,13.3,17.8,49.0,2023-03-25 12:14:31.238509
3544167,D0011,11.9,13.1,18.1,48.2,2023-03-25 12:15:31.232118
3544185,D0011,11.7,13.1,18.0,48.0,2023-03-25 12:16:31.239502
3544203,D0011,11.2,12.5,18.1,48.1,2023-03-25 12:17:31.243256
3544221,D0011,11.4,12.7,18.2,48.0,2023-03-25 12:18:31.235957
3544239,D0011,12.0,13.3,18.4,47.5,2023-03-25 12:19:31.247947
3544257,D0011,11.6,13.0,18.2,47.2,2023-03-25 12:20:31.245345
3544275,D0011,10.8,12.0,18.2,47.1,2023-03-25 12:21:31.248562
3544293,D0011,10.8,11.8,18.1,48.2,2023-03-25 12:22:31.255995
3544311,D0011,11.2,12.3,17.9,47.8,2023-03-25 12:23:31.251016
3544329,D0011,11.0,12.0,17.9,47.1,2023-03-25 12:24:31.254994
3544347,D0011,10.8,11.9,17.8,48.7,2023-03-25 12:25:31.271402
3544365,D0011,11.3,12.5,17.9,47.9,2023-03-25 12:26:31.263316
3544383,D0011,11.3,12.4,17.7,46.1,2023-03-25 12:27:31.266425
3544401,D0011,11.2,12.2,17.1,48.0,2023-03-25 12:28:31.26514
3544419,D0011,12.1,13.3,16.6,48.9,2023-03-25 12:29:31.263964
3544437,D0011,11.6,12.7,16.7,49.9,2023-03-25 12:30:31.266246
3544455,D0011,9.7,10.6,17.0,49.9,2023-03-25 12:31:31.270211
3544473,D0011,9.9,10.8,17.2,49.8,2023-03-25 12:32:31.278211
3544491,D0011,11.6,12.6,17.4,48.8,2023-03-25 12:33:31.278734
3544509,D0011,10.4,11.3,17.7,48.0,2023-03-25 12:34:31.279357
3544527,D0011,11.3,12.2,17.4,48.9,2023-03-25 12:35:30.280551
3544545,D0011,11.9,13.1,17.4,49.7,2023-03-25 12:36:31.279854
3544563,D0011,11.8,12.9,17.1,49.2,2023-03-25 12:37:31.283524
3544581,D0011,12.7,14.1,16.4,51.0,2023-03-25 12:38:31.28868
3544599,D0011,12.6,13.9,16.1,52.1,2023-03-25 12:39:31.287492
3544617,D0011,11.8,12.9,16.0,53.4,2023-03-25 12:40:31.291021
3544635,D0011,12.4,13.5,16.3,52.5,2023-03-25 12:41:31.29762
3544653,D0011,12.2,13.2,16.3,51.8,2023-03-25 12:42:31.298911
3544671,D0011,11.7,12.8,16.3,52.3,2023-03-25 12:43:30.305931
3544689,D0011,12.1,13.2,16.2,51.4,2023-03-25 12:44:31.303538
3544707,D0011,13.1,14.2,16.3,51.3,2023-03-25 12:45:31.310786
3544725,D0011,11.8,12.7,16.1,52.2,2023-03-25 12:46:31.31199
3544743,D0011,11.8,12.7,16.1,53.2,2023-03-25 12:47:31.31044
3544761,D0011,12.0,12.7,16.4,52.8,2023-03-25 12:48:31.314188
3544779,D0011,11.4,12.1,16.5,51.9,2023-03-25 12:49:31.317982
3544797,D0011,11.8,12.6,16.6,51.9,2023-03-25 12:50:31.316278
3544815,D0011,12.6,13.5,16.6,50.3,2023-03-25 12:51:31.314509
3544833,D0011,13.1,14.1,16.5,50.9,2023-03-25 12:52:31.318526
3544851,D0011,12.7,13.6,16.3,51.3,2023-03-25 12:53:31.317961
3544869,D0011,12.1,13.0,16.3,52.5,2023-03-25 12:54:31.325075
3544887,D0011,11.9,12.9,16.3,52.2,2023-03-25 12:55:31.334596
3544905,D0011,12.7,13.7,16.4,51.6,2023-03-25 12:56:31.335767
3544923,D0011,12.1,13.0,16.2,51.0,2023-03-25 12:57:31.341558
3544941,D0011,11.9,12.9,16.3,51.4,2023-03-25 12:58:31.33936
3544959,D0011,11.8,12.7,16.3,50.9,2023-03-25 12:59:31.34464
3544977,D0011,12.6,13.7,16.7,50.3,2023-03-25 13:00:31.363588
3544996,D0011,11.6,12.5,16.8,49.9,2023-03-25 13:01:31.369233
3545015,D0011,10.9,11.7,16.9,49.8,2023-03-25 13:02:31.360376
3545034,D0011,12.7,13.7,17.0,49.9,2023-03-25 13:03:31.368174
3545053,D0011,13.0,14.0,17.1,50.4,2023-03-25 13:04:31.371147
3545072,D0011,12.8,13.7,17.3,50.0,2023-03-25 13:05:31.37108
3545091,D0011,13.7,14.7,17.3,49.5,2023-03-25 13:06:31.370619
3545110,D0011,13.2,14.3,17.5,50.2,2023-03-25 13:07:31.372187
3545129,D0011,14.1,15.2,17.5,49.9,2023-03-25 13:08:31.382822
3545148,D0011,12.7,13.8,17.5,50.1,2023-03-25 13:09:31.388765
3545167,D0011,13.1,14.3,17.6,48.7,2023-03-25 13:10:31.385847
3545186,D0011,13.2,14.3,17.3,48.4,2023-03-25 13:11:31.388111
3545205,D0011,11.6,12.3,17.2,48.7,2023-03-25 13:12:31.391362
3545224,D0011,12.8,13.5,17.1,49.0,2023-03-25 13:13:31.399493
3545243,D0011,12.9,13.5,17.2,49.3,2023-03-25 13:14:31.399236
3545262,D0011,12.6,13.3,17.0,49.3,2023-03-25 13:15:31.399536
3545281,D0011,12.1,12.7,16.8,50.6,2023-03-25 13:16:31.40845
3545300,D0011,13.2,13.9,17.0,50.9,2023-03-25 13:17:31.411329
3545319,D0011,12.8,13.6,16.3,51.7,2023-03-25 13:18:31.416345
3545338,D0011,12.6,13.4,16.1,52.9,2023-03-25 13:19:31.412835
3545357,D0011,13.5,14.6,16.0,53.3,2023-03-25 13:20:31.420876
3545376,D0011,13.1,14.1,16.1,53.2,2023-03-25 13:21:31.424837
3545395,D0011,13.7,14.6,16.3,53.2,2023-03-25 13:22:31.424518
3545414,D0011,12.1,12.9,16.7,53.2,2023-03-25 13:23:31.426627
3545433,D0011,13.0,13.9,16.8,51.8,2023-03-25 13:24:31.434065
3545452,D0011,12.9,13.9,16.9,52.4,2023-03-25 13:25:31.432983
3545470,D0011,12.4,13.3,16.8,52.1,2023-03-25 13:26:31.434438
3545489,D0011,13.0,14.1,16.8,51.6,2023-03-25 13:27:31.440993
